ADEP,ADES,cluster_kmeans,AC Type,n,delta_dist_nm_mean,delta_dist_nm_std,delta_dist_nm_p5,delta_dist_nm_p95,delta_duration_h_mean,delta_duration_h_std,delta_duration_h_p5,delta_duration_h_p95,delta_fuel_kg_mean,delta_fuel_kg_std,delta_fuel_kg_p5,delta_fuel_kg_p95
EGKK,EGNS,0,A319,5,-5.72,10.03,-16.78,3.48,-0.04,0.07,-0.12,0.03,-93.12,158.55,-269.86,75.18
EGKK,EGNS,0,A320,8,-6.85,4.62,-14.07,-2.39,-0.01,0.05,-0.07,0.03,-30.52,113.61,-184.66,85.53
EGKK,EGNS,1,A319,33,-3.34,7.15,-16.78,5.82,-0.01,0.07,-0.09,0.09,-23.19,155.65,-196.4,192.74
EGKK,EGPD,0,A319,36,2.82,12.66,-16.6,23.42,0.02,0.08,-0.1,0.13,42.29,174.99,-221.68,296.18
EGKK,EGPD,0,E145,1,1.6,,1.6,1.6,-0.23,,-0.23,-0.23,-305.6,,-305.6,-305.6
EGKK,EGPD,1,A319,23,5.03,11.47,-10.6,18.35,0.03,0.07,-0.06,0.11,56.61,161.25,-135.65,247.93
EGKK,EGPD,1,A320,1,10.2,,10.2,10.2,-0.01,,-0.01,-0.01,-19.4,,-19.4,-19.4
EGKK,EGPE,0,A20N,1,26.1,,26.1,26.1,0.09,,0.09,0.09,209.5,,209.5,209.5
EGKK,EGPE,0,A319,55,14.92,16.41,-10.2,39.4,0.03,0.07,-0.06,0.12,68.68,152.38,-138.58,259.83
EGKK,EGPE,0,A320,2,18.0,9.33,12.06,23.94,0.04,0.06,-0.0,0.07,88.2,155.14,-10.53,186.93
EGKK,EGPE,1,A319,16,14.32,13.93,-4.88,29.15,0.04,0.06,-0.06,0.13,89.74,142.81,-127.92,283.52
EGKK,EGPE,1,A320,2,11.65,20.15,-1.18,24.48,0.11,0.1,0.05,0.17,272.3,246.5,115.43,429.17
EGKK,EGPF,0,A20N,2,-0.2,13.01,-8.48,8.08,-0.02,0.01,-0.03,-0.02,-57.5,28.85,-75.86,-39.14
EGKK,EGPF,0,A21N,1,43.4,,43.4,43.4,0.09,,0.09,0.09,217.4,,217.4,217.4
EGKK,EGPF,0,A319,9,10.84,11.46,-2.32,28.28,0.04,0.1,-0.03,0.2,87.62,222.67,-63.82,439.24
EGKK,EGPF,0,A320,51,11.08,12.64,-5.85,28.05,0.06,0.16,-0.05,0.17,141.21,406.13,-127.4,435.8
EGKK,EGPF,0,B38M,1,40.8,,40.8,40.8,0.05,,0.05,0.05,106.2,,106.2,106.2
EGKK,EGPF,0,B788,1,3.7,,3.7,3.7,-0.01,,-0.01,-0.01,-54.9,,-54.9,-54.9
EGKK,EGPF,1,A20N,24,5.45,12.48,-6.65,28.93,0.01,0.05,-0.05,0.09,19.55,119.52,-119.94,209.74
EGKK,EGPF,1,A319,77,6.85,10.83,-5.28,29.6,0.01,0.07,-0.07,0.12,29.85,155.19,-161.28,257.1
EGKK,EGPF,1,B38M,1,3.0,,3.0,3.0,-0.06,,-0.06,-0.06,-127.2,,-127.2,-127.2
EGKK,EGPF,1,B738,1,10.0,,10.0,10.0,-0.08,,-0.08,-0.08,-183.3,,-183.3,-183.3
EGKK,EGPF,1,B788,1,0.4,,0.4,0.4,-0.08,,-0.08,-0.08,-398.7,,-398.7,-398.7
EGKK,EGPH,0,A20N,9,6.46,7.46,0.36,18.2,0.04,0.06,-0.04,0.12,91.96,132.36,-90.32,281.52
EGKK,EGPH,0,A319,41,7.57,10.8,-7.8,27.8,0.01,0.07,-0.09,0.09,21.9,161.49,-194.9,188.3
EGKK,EGPH,1,A320,23,7.13,10.51,-7.47,20.96,-0.0,0.07,-0.09,0.1,-10.43,174.22,-229.13,249.79
EGKK,EGPH,2,A319,5,11.84,5.09,5.14,16.58,0.02,0.05,-0.04,0.08,34.58,108.88,-86.38,166.82
EGKK,EGPH,2,A320,55,9.32,7.91,-1.81,23.08,0.03,0.07,-0.08,0.15,76.52,187.13,-193.63,386.21
EGKK,EHAM,0,A20N,33,1.96,5.63,-4.78,12.52,-0.01,0.04,-0.08,0.04,-30.09,88.2,-180.54,96.72
EGKK,EHAM,0,A319,111,2.61,6.93,-6.0,15.3,-0.01,0.05,-0.09,0.08,-14.6,110.66,-202.05,176.5
EGKK,EHAM,0,A320,74,5.56,10.53,-6.1,22.54,0.03,0.07,-0.06,0.14,62.39,180.29,-144.01,353.41
EGKK,EHAM,0,A321,5,5.26,8.05,-1.46,15.84,0.04,0.04,-0.01,0.09,105.04,113.22,-19.1,243.3
EGKK,EIDW,0,B38M,12,-35.03,7.62,-46.06,-22.58,-0.17,0.05,-0.22,-0.09,-352.35,99.68,-468.42,-179.95
EGKK,EIDW,0,B738,51,-33.02,9.86,-47.5,-15.15,-0.13,0.07,-0.23,-0.02,-323.11,159.38,-559.85,-40.15
EGKK,EIDW,1,A20N,1,-30.4,,-30.4,-30.4,-0.15,,-0.15,-0.15,-336.0,,-336.0,-336.0
EGKK,EIDW,1,A320,55,-11.34,20.66,-41.69,24.2,-0.05,0.08,-0.15,0.06,-112.96,202.34,-376.41,159.97
EGKK,EIDW,1,B38M,10,-30.04,29.02,-67.21,18.3,-0.03,0.3,-0.2,0.44,-69.36,623.68,-429.31,925.71
EGKK,EIDW,1,B738,25,-25.18,30.78,-70.04,11.0,-0.08,0.15,-0.18,0.17,-181.07,365.62,-442.64,401.44
EGKK,EIDW,2,A20N,1,31.6,,31.6,31.6,0.07,,0.07,0.07,153.4,,153.4,153.4
EGKK,EIDW,2,A320,31,-3.29,10.57,-13.6,15.15,-0.03,0.07,-0.1,0.09,-62.12,169.69,-255.35,222.1
EGKK,EIDW,2,B38M,7,-1.29,9.63,-10.23,12.83,-0.03,0.07,-0.13,0.04,-59.74,155.62,-279.45,88.76
EGKK,EIDW,2,B738,50,-4.53,16.78,-22.52,26.34,-0.07,0.06,-0.18,0.02,-174.64,148.29,-427.0,51.71
EGKK,EIDW,3,A20N,2,-12.3,5.09,-15.54,-9.06,-0.05,0.03,-0.07,-0.03,-113.05,75.87,-161.33,-64.76
EGKK,EIDW,3,A320,14,3.29,21.4,-23.81,37.29,-0.02,0.08,-0.13,0.11,-41.54,196.12,-325.49,264.17
EGKK,EIDW,3,B38M,1,-29.3,,-29.3,-29.3,-0.11,,-0.11,-0.11,-234.5,,-234.5,-234.5
EGKK,EIDW,4,B38M,7,-46.67,17.21,-67.48,-26.17,-0.16,0.05,-0.21,-0.08,-330.5,111.79,-442.66,-162.14
EGKK,EIDW,4,B738,22,-40.67,8.21,-53.11,-28.58,-0.14,0.07,-0.23,-0.07,-328.4,159.42,-564.73,-171.56
EGKK,EIDW,5,B38M,5,-35.18,12.61,-51.66,-23.6,-0.08,0.06,-0.14,-0.0,-166.58,123.38,-288.6,-9.66
EGKK,EIDW,5,B738,32,-32.68,37.87,-55.89,-4.03,-0.12,0.24,-0.28,-0.0,-283.99,577.71,-668.7,-6.09
EGKK,EKCH,0,A319,51,-11.65,11.97,-34.65,2.6,-0.09,0.04,-0.17,-0.03,-204.48,93.84,-368.6,-76.8
EGKK,EKCH,0,A320,1,-20.9,,-20.9,-20.9,-0.12,,-0.12,-0.12,-294.4,,-294.4,-294.4
EGKK,EKCH,0,B38M,89,-12.77,12.05,-36.24,4.7,-0.12,0.06,-0.2,-0.04,-250.09,116.7,-418.54,-74.6
EGKK,EKCH,0,B738,49,-12.4,14.17,-36.26,12.34,-0.13,0.06,-0.2,-0.06,-304.43,146.44,-483.96,-141.72
EGKK,ENBR,0,B738,54,-18.31,12.65,-33.96,5.47,-0.07,0.07,-0.2,0.02,-175.44,160.91,-469.31,56.8
EGKK,ENGM,0,B738,108,-12.95,15.4,-42.18,7.57,-0.07,0.07,-0.16,0.04,-178.28,166.0,-382.8,88.95
EGKK,EPKK,0,A20N,2,-11.8,25.74,-28.18,4.58,-0.03,0.09,-0.09,0.03,-57.45,216.87,-195.46,80.56
EGKK,EPKK,0,A21N,9,-3.72,24.07,-34.82,25.38,0.02,0.13,-0.16,0.18,61.91,316.12,-396.32,445.3
EGKK,EPKK,0,A319,23,-17.8,17.61,-44.11,2.19,-0.05,0.08,-0.18,0.07,-110.9,183.69,-400.3,164.4
EGKK,EPKK,0,A320,1,-9.7,,-9.7,-9.7,0.07,,0.07,0.07,166.7,,166.7,166.7
EGKK,EPKK,0,A321,10,-41.62,13.69,-52.88,-17.05,-0.1,0.05,-0.15,-0.02,-277.18,142.95,-421.04,-55.99
EGKK,EPKK,1,A21N,1,6.5,,6.5,6.5,-0.08,,-0.08,-0.08,-208.4,,-208.4,-208.4
EGKK,EPKK,1,A319,2,-8.4,18.81,-20.37,3.57,-0.06,0.03,-0.08,-0.04,-136.8,62.23,-176.4,-97.2
EGKK,EPKK,1,A320,1,6.7,,6.7,6.7,-0.03,,-0.03,-0.03,-83.4,,-83.4,-83.4
EGKK,EPKK,1,A321,11,-18.56,13.07,-30.45,6.25,-0.06,0.05,-0.14,-0.0,-177.22,153.77,-386.4,-7.25
EGKK,ESSA,0,B738,53,-1.14,12.04,-21.52,20.94,0.01,0.08,-0.09,0.16,15.45,187.25,-213.62,392.52
EGKK,ESSA,1,B738,19,-5.31,10.76,-18.37,9.55,-0.01,0.1,-0.13,0.15,-19.84,237.67,-304.47,368.07
EGKK,ESSA,2,B738,28,-5.88,15.79,-28.77,21.21,-0.03,0.08,-0.12,0.1,-61.94,189.63,-286.76,249.9
EGKK,EVRA,0,BCS3,16,-0.4,7.52,-8.75,12.78,0.03,0.06,-0.05,0.12,51.26,118.81,-95.8,226.42
EGKK,EVRA,1,BCS3,17,4.68,7.01,-5.0,18.34,0.06,0.11,-0.08,0.25,117.25,216.37,-156.54,481.46
EGKK,EVRA,2,BCS3,18,13.21,15.36,-3.23,31.72,0.09,0.11,-0.01,0.27,168.44,205.38,-23.36,510.34
EGKK,GCLP,0,A20N,15,9.12,15.43,-7.05,31.21,0.1,0.14,-0.1,0.32,236.09,332.61,-221.33,741.56
EGKK,GCLP,0,A21N,2,8.0,11.46,0.71,15.29,0.1,0.28,-0.08,0.27,240.25,698.27,-204.12,684.62
EGKK,GCLP,0,A320,31,12.88,19.59,-8.15,49.5,0.11,0.19,-0.18,0.39,279.9,469.74,-450.7,962.85
EGKK,GCLP,0,A321,2,18.75,22.7,4.3,33.19,0.13,0.2,0.01,0.26,378.45,562.64,20.38,736.51
EGKK,GCLP,0,B38M,2,10.1,51.76,-22.84,43.04,0.08,0.48,-0.23,0.38,156.95,1017.17,-490.37,804.28
EGKK,GCLP,0,B738,10,15.74,27.24,-13.92,54.83,0.07,0.15,-0.18,0.23,162.38,367.74,-436.5,558.38
EGKK,GCRR,0,A20N,52,-11.43,13.35,-26.69,13.17,-0.01,0.2,-0.33,0.33,-23.12,459.22,-751.62,748.85
EGKK,GCRR,0,A21N,21,-14.6,11.88,-25.8,8.3,-0.04,0.17,-0.28,0.2,-108.68,430.81,-705.3,496.8
EGKK,GCRR,0,A320,31,-14.96,27.35,-39.55,25.35,-0.06,0.2,-0.34,0.28,-160.33,502.26,-853.9,706.5
EGKK,GCRR,0,B38M,2,-13.35,6.01,-17.18,-9.52,-0.04,0.1,-0.1,0.03,-76.45,216.16,-214.02,61.11
EGKK,GCRR,0,B738,6,-8.05,12.88,-24.2,5.2,-0.04,0.14,-0.24,0.09,-90.45,347.66,-579.0,225.3
EGKK,GCTS,0,A20N,10,-15.77,5.1,-22.14,-7.77,-0.02,0.16,-0.28,0.14,-44.72,379.39,-651.42,325.29
EGKK,GCTS,0,A21N,7,-18.21,12.34,-34.88,-4.48,-0.04,0.17,-0.21,0.21,-92.07,437.22,-521.63,529.03
EGKK,GCTS,0,A320,30,-19.84,14.27,-47.41,-0.46,-0.05,0.23,-0.34,0.18,-113.27,564.19,-844.97,460.58
EGKK,GCTS,0,A321,4,-20.42,19.36,-42.86,-2.93,-0.03,0.24,-0.29,0.22,-90.38,673.32,-802.65,606.39
EGKK,GCTS,0,B738,4,-19.7,9.87,-28.57,-9.01,-0.06,0.14,-0.24,0.03,-156.5,344.92,-575.7,81.4
EGKK,GCTS,0,B788,3,-16.3,10.58,-26.7,-8.7,0.03,0.2,-0.17,0.18,172.33,1050.52,-858.63,936.69
EGKK,GCTS,1,A20N,7,-21.69,9.46,-35.14,-13.93,-0.04,0.23,-0.35,0.24,-97.21,539.36,-793.47,557.57
EGKK,GCTS,1,A21N,8,-26.85,10.78,-38.02,-11.14,-0.07,0.21,-0.35,0.21,-184.42,536.68,-875.04,512.32
EGKK,GCTS,1,A320,22,-19.52,23.35,-38.12,40.38,-0.1,0.17,-0.35,0.07,-245.88,435.1,-868.98,178.09
EGKK,GCTS,1,A321,4,-16.9,10.22,-28.02,-6.55,-0.09,0.23,-0.37,0.05,-264.08,632.66,-1032.99,146.06
EGKK,GCTS,1,B738,1,-27.8,,-27.8,-27.8,-0.1,,-0.1,-0.1,-250.7,,-250.7,-250.7
EGKK,GCTS,2,A20N,7,-15.44,13.94,-28.33,2.45,-0.05,0.17,-0.21,0.19,-112.07,382.95,-476.08,432.56
EGKK,GCTS,2,A21N,7,-24.8,6.98,-31.03,-13.91,-0.07,0.14,-0.25,0.1,-187.03,341.49,-614.51,260.49
EGKK,GCTS,2,A320,19,-20.59,8.69,-29.96,-7.17,-0.12,0.17,-0.38,0.1,-298.02,421.08,-961.6,246.04
EGKK,GCTS,2,B738,1,-28.6,,-28.6,-28.6,-0.29,,-0.29,-0.29,-693.3,,-693.3,-693.3
EGKK,GCTS,2,B772,1,-29.2,,-29.2,-29.2,-0.09,,-0.09,-0.09,-594.0,,-594.0,-594.0
EGKK,GCTS,2,B788,1,-29.4,,-29.4,-29.4,-0.1,,-0.1,-0.1,-530.1,,-530.1,-530.1
EGKK,GMMX,0,A20N,4,20.08,20.67,-2.47,41.12,0.18,0.08,0.1,0.26,410.55,175.89,234.02,589.32
EGKK,GMMX,0,A21N,10,6.16,25.65,-12.21,51.74,0.06,0.18,-0.17,0.31,160.8,449.12,-435.9,783.65
EGKK,GMMX,0,A319,14,2.83,14.93,-16.56,26.29,0.06,0.18,-0.21,0.29,137.01,405.07,-468.66,636.93
EGKK,GMMX,0,A320,34,-0.89,11.0,-17.72,15.93,0.03,0.13,-0.1,0.23,71.31,336.09,-261.62,566.06
EGKK,GMMX,0,A321,18,2.61,10.85,-8.29,18.96,0.05,0.2,-0.25,0.37,149.51,565.33,-698.14,1024.17
EGKK,GMMX,0,B738,8,5.8,10.77,-6.87,20.87,0.05,0.18,-0.25,0.21,110.01,443.71,-597.44,501.79
EGKK,GMMX,1,A20N,1,12.7,,12.7,12.7,0.0,,0.0,0.0,11.5,,11.5,11.5
EGKK,GMMX,1,A21N,2,-0.55,5.16,-3.84,2.74,0.08,0.18,-0.04,0.19,189.85,441.45,-91.08,470.78
EGKK,GMMX,1,A319,1,-6.8,,-6.8,-6.8,0.01,,0.01,0.01,29.9,,29.9,29.9
EGKK,GMMX,1,A320,21,-2.14,12.19,-17.7,16.9,0.03,0.12,-0.17,0.17,74.61,287.91,-430.9,436.5
EGKK,GMMX,1,A321,3,-7.2,9.09,-13.36,1.76,0.06,0.1,-0.04,0.14,169.6,284.32,-107.82,384.93
EGKK,GMMX,1,B738,2,4.35,12.66,-3.7,12.4,-0.06,0.2,-0.19,0.07,-145.7,482.25,-452.6,161.2
EGKK,KJFK,0,A21N,5,0.26,79.41,-52.28,110.02,0.01,0.43,-0.37,0.58,34.82,1073.69,-930.46,1440.5
EGKK,KJFK,0,B763,11,-3.37,64.54,-63.0,95.25,0.05,0.32,-0.26,0.53,257.13,1779.7,-1451.35,2912.75
EGKK,KJFK,0,B772,3,1.3,5.65,-4.25,5.38,0.08,0.28,-0.1,0.36,551.83,1839.64,-638.0,2366.65
EGKK,KJFK,0,B789,11,1.42,13.08,-16.2,19.25,0.09,0.37,-0.22,0.78,504.96,2048.52,-1195.35,4279.4
EGKK,KJFK,1,A21N,3,-2.87,32.43,-32.61,25.71,-0.06,0.42,-0.39,0.35,-146.97,1058.61,-986.95,874.97
EGKK,KJFK,1,B763,6,-2.78,34.58,-38.67,44.8,-0.01,0.35,-0.41,0.44,-35.87,1936.35,-2242.0,2442.22
EGKK,KJFK,1,B772,12,3.78,45.94,-38.84,79.24,0.01,0.33,-0.54,0.35,73.18,2191.19,-3552.16,2285.95
EGKK,KJFK,1,B789,3,7.07,31.69,-17.39,37.87,0.04,0.14,-0.07,0.17,234.7,766.24,-398.65,963.95
EGKK,KJFK,2,A21N,12,7.06,61.15,-61.78,104.55,0.11,0.3,-0.29,0.5,277.19,760.05,-733.92,1255.7
EGKK,KJFK,2,B763,4,2.95,61.76,-66.22,61.34,0.1,0.13,-0.05,0.22,559.93,730.96,-280.82,1221.01
EGKK,KJFK,2,B789,10,3.11,34.99,-36.72,57.81,0.08,0.32,-0.34,0.44,424.3,1773.96,-1852.57,2444.87
EGKK,KJFK,3,A21N,10,-1.72,29.43,-36.88,43.01,0.07,0.25,-0.2,0.44,178.28,621.54,-497.26,1111.99
EGKK,KJFK,3,B763,6,-12.72,57.07,-58.15,69.85,0.05,0.33,-0.28,0.38,294.63,1821.42,-1529.65,2102.22
EGKK,KJFK,3,B764,1,0.0,,0.0,0.0,0.02,,0.02,0.02,99.3,,99.3,99.3
EGKK,KJFK,3,B772,11,6.46,51.16,-51.5,86.1,0.12,0.22,-0.16,0.42,791.32,1452.87,-1069.35,2767.8
EGKK,KJFK,3,B789,6,-2.15,25.31,-27.9,32.82,0.13,0.28,-0.18,0.51,698.93,1554.91,-988.5,2815.3
EGKK,KMCO,0,B772,32,2.3,68.23,-67.68,72.43,0.06,0.23,-0.3,0.4,370.23,1541.24,-1981.29,2651.47
EGKK,KMCO,0,B789,12,0.96,44.11,-39.18,77.42,0.06,0.34,-0.41,0.5,311.55,1879.03,-2239.85,2752.51
EGKK,KMCO,1,B772,23,2.07,58.72,-91.86,108.44,0.06,0.2,-0.25,0.31,421.54,1308.63,-1652.35,2075.55
EGKK,KMCO,1,B789,6,-0.3,61.1,-83.92,45.38,0.09,0.34,-0.19,0.57,470.87,1871.05,-1057.15,3147.25
EGKK,LCLK,0,A20N,2,63.55,75.73,15.36,111.74,0.2,0.2,0.08,0.33,468.6,448.59,183.12,754.08
EGKK,LCLK,0,A21N,13,15.75,20.36,-2.16,46.36,0.02,0.09,-0.12,0.11,41.25,233.86,-309.26,280.7
EGKK,LCLK,0,A320,7,21.2,15.08,3.53,40.9,0.06,0.17,-0.15,0.25,142.07,429.53,-373.81,617.88
EGKK,LCLK,0,A321,4,9.52,9.75,-1.08,19.25,0.08,0.13,-0.07,0.2,213.1,360.01,-189.0,561.86
EGKK,LCLK,0,B38M,6,15.63,15.43,-0.42,37.02,0.02,0.11,-0.13,0.12,49.82,227.1,-277.05,243.88
EGKK,LCLK,0,B738,5,12.42,7.2,4.64,21.28,-0.07,0.09,-0.16,0.05,-160.0,216.15,-376.0,112.0
EGKK,LCLK,1,A20N,6,23.62,20.21,1.25,48.95,0.11,0.09,0.02,0.23,260.52,198.43,51.05,526.42
EGKK,LCLK,1,A21N,24,20.1,14.43,2.24,37.58,0.02,0.14,-0.17,0.24,39.8,357.0,-423.6,605.6
EGKK,LCLK,1,A320,15,21.12,25.77,-4.07,74.72,0.05,0.1,-0.08,0.2,122.79,257.99,-190.3,511.17
EGKK,LCLK,1,A321,11,21.51,13.47,4.35,40.75,0.11,0.12,-0.04,0.28,305.27,349.43,-104.1,784.15
EGKK,LCLK,1,B38M,6,18.47,29.57,-9.88,59.9,0.03,0.09,-0.04,0.16,66.47,187.94,-90.45,338.3
EGKK,LCLK,1,B738,2,21.1,17.11,10.21,31.99,-0.07,0.06,-0.11,-0.04,-180.0,141.42,-270.0,-90.0
EGKK,LCPH,0,A20N,6,22.8,25.68,0.08,60.05,0.03,0.07,-0.05,0.13,63.35,169.32,-106.25,296.95
EGKK,LCPH,0,A21N,10,34.88,17.52,15.12,63.96,0.03,0.08,-0.09,0.14,76.34,204.04,-230.29,358.16
EGKK,LCPH,0,A320,38,23.48,13.93,4.49,44.94,-0.02,0.11,-0.17,0.17,-46.21,285.71,-428.52,423.34
EGKK,LCPH,0,A321,8,28.68,18.74,12.3,58.5,0.01,0.12,-0.16,0.12,13.81,333.33,-453.64,347.56
EGKK,LCPH,0,B38M,3,23.07,45.26,-14.12,66.25,-0.07,0.13,-0.18,0.05,-137.9,274.2,-384.12,109.44
EGKK,LCPH,0,B738,2,22.5,31.11,2.7,42.3,-0.06,0.0,-0.07,-0.06,-153.35,10.39,-159.96,-146.74
EGKK,LCPH,0,B772,2,23.6,14.57,14.33,32.87,0.02,0.13,-0.06,0.1,137.5,837.5,-395.48,670.48
EGKK,LCPH,0,B788,1,4.2,,4.2,4.2,-0.04,,-0.04,-0.04,-213.7,,-213.7,-213.7
EGKK,LCPH,1,A20N,8,26.45,37.63,-4.51,87.1,0.01,0.13,-0.15,0.18,12.44,288.51,-353.02,418.21
EGKK,LCPH,1,A21N,6,19.4,8.14,8.68,27.6,-0.03,0.13,-0.2,0.12,-78.2,325.54,-502.08,290.48
EGKK,LCPH,1,A320,28,21.31,51.34,-10.05,137.32,-0.03,0.14,-0.22,0.17,-61.59,340.22,-556.86,420.71
EGKK,LCPH,1,A321,2,28.2,41.44,1.83,54.57,-0.05,0.14,-0.14,0.04,-138.4,380.56,-380.59,103.79
EGKK,LCPH,1,B38M,5,23.86,13.12,8.28,37.24,-0.0,0.03,-0.04,0.03,-1.18,67.42,-89.48,61.34
EGKK,LCPH,1,B738,14,18.86,22.24,-2.04,58.56,-0.06,0.15,-0.27,0.17,-152.76,360.48,-640.7,408.5
EGKK,LCPH,1,B788,1,5.3,,5.3,5.3,0.01,,0.01,0.01,39.0,,39.0,39.0
EGKK,LDDU,0,A20N,1,19.1,,19.1,19.1,0.02,,0.02,0.02,47.3,,47.3,47.3
EGKK,LDDU,0,A21N,3,3.53,9.0,-3.94,12.08,0.02,0.05,-0.01,0.07,58.27,117.17,-33.01,171.92
EGKK,LDDU,0,A319,4,2.28,5.83,-1.76,9.36,0.01,0.13,-0.12,0.12,11.92,280.74,-257.4,266.23
EGKK,LDDU,0,A320,18,1.68,8.77,-8.94,16.09,0.01,0.07,-0.09,0.11,30.96,183.82,-235.83,280.85
EGKK,LDDU,0,A321,3,1.13,7.99,-4.6,8.99,0.01,0.08,-0.06,0.08,38.33,218.77,-162.34,231.05
EGKK,LDDU,0,B738,2,1.45,4.88,-1.66,4.56,-0.06,0.01,-0.06,-0.05,-133.0,25.03,-148.93,-117.07
EGKK,LDDU,0,B788,3,1.37,3.52,-1.32,4.8,-0.01,0.03,-0.03,0.02,-52.9,153.06,-176.33,94.12
EGKK,LDDU,1,A20N,1,-2.5,,-2.5,-2.5,0.06,,0.06,0.06,132.9,,132.9,132.9
EGKK,LDDU,1,A21N,4,8.55,20.96,-16.95,22.01,0.04,0.07,-0.02,0.12,110.95,177.86,-51.18,292.76
EGKK,LDDU,1,A319,6,8.82,33.2,-14.77,58.18,0.04,0.15,-0.12,0.23,85.05,322.47,-268.88,512.4
EGKK,LDDU,1,A320,22,7.45,17.37,-13.08,30.63,0.03,0.1,-0.1,0.17,80.07,260.04,-261.2,427.98
EGKK,LDDU,1,B738,1,-10.3,,-10.3,-10.3,-0.16,,-0.16,-0.16,-390.0,,-390.0,-390.0
EGKK,LDDU,2,A21N,7,9.97,10.47,-1.23,24.66,0.06,0.04,0.0,0.11,140.87,106.94,10.4,270.0
EGKK,LDDU,2,A319,4,-1.5,3.88,-5.36,2.08,-0.04,0.1,-0.13,0.04,-95.62,209.29,-290.76,90.09
EGKK,LDDU,2,A320,19,4.45,10.25,-7.77,22.77,0.01,0.06,-0.07,0.1,37.03,142.49,-167.72,254.19
EGKK,LDDU,2,B738,1,-4.2,,-4.2,-4.2,-0.07,,-0.07,-0.07,-177.3,,-177.3,-177.3
EGKK,LDDU,2,B788,1,-3.3,,-3.3,-3.3,0.04,,0.04,0.04,235.4,,235.4,235.4
EGKK,LDDU,3,A320,21,7.21,8.94,-7.4,23.3,0.03,0.08,-0.11,0.14,72.04,199.11,-285.3,356.4
EGKK,LDDU,3,A321,1,12.7,,12.7,12.7,0.03,,0.03,0.03,78.6,,78.6,78.6
EGKK,LDSP,0,A20N,4,8.7,17.37,-2.02,29.85,0.05,0.06,-0.01,0.11,126.52,128.62,-22.85,242.33
EGKK,LDSP,0,A21N,2,4.7,4.67,1.73,7.67,0.05,0.06,0.01,0.09,122.55,160.58,20.36,224.74
EGKK,LDSP,0,A319,29,3.83,13.38,-14.06,26.06,0.04,0.07,-0.07,0.15,98.59,160.7,-150.34,339.36
EGKK,LDSP,0,A320,16,12.86,16.28,-7.18,39.95,0.05,0.07,-0.04,0.14,115.89,166.79,-99.5,339.22
EGKK,LDSP,0,B738,5,-0.12,18.15,-18.02,23.12,-0.04,0.06,-0.11,0.02,-105.18,135.53,-261.84,44.7
EGKK,LDSP,1,A319,18,15.62,29.2,-11.54,53.58,0.07,0.12,-0.12,0.24,147.4,258.67,-264.48,539.01
EGKK,LDSP,1,A320,12,10.13,12.08,-2.84,27.23,0.02,0.05,-0.06,0.08,41.03,135.32,-157.85,205.97
EGKK,LDSP,1,B738,2,3.55,11.95,-4.06,11.16,0.02,0.04,-0.01,0.05,47.7,100.41,-16.2,111.6
EGKK,LEAL,0,A20N,19,6.87,11.24,-2.67,24.8,0.08,0.12,-0.13,0.23,175.38,286.86,-292.64,529.2
EGKK,LEAL,0,A21N,17,8.81,14.42,-2.3,31.38,0.07,0.13,-0.12,0.24,176.49,328.36,-300.62,586.6
EGKK,LEAL,0,A319,56,5.6,10.17,-3.58,23.78,0.06,0.12,-0.11,0.19,121.29,266.43,-242.65,413.25
EGKK,LEAL,0,A320,112,6.94,16.9,-6.07,38.64,0.08,0.12,-0.11,0.25,193.97,287.77,-275.92,616.15
EGKK,LEAL,0,A321,7,3.37,3.9,-1.66,8.56,0.1,0.12,-0.09,0.2,282.91,338.56,-245.89,559.6
EGKK,LEAL,0,B38M,9,4.56,10.21,-4.42,20.92,0.07,0.07,-0.04,0.15,139.61,145.82,-91.66,313.28
EGKK,LEAL,0,B738,11,1.52,4.05,-3.9,7.85,0.0,0.12,-0.18,0.13,7.38,282.21,-425.25,311.75
EGKK,LEAL,0,B788,1,11.8,,11.8,11.8,-0.08,,-0.08,-0.08,-400.1,,-400.1,-400.1
EGKK,LEBB,0,A20N,6,-16.55,19.75,-42.3,5.85,0.0,0.09,-0.11,0.09,7.47,204.61,-249.95,214.88
EGKK,LEBB,0,A319,16,-11.64,25.5,-43.9,30.15,-0.02,0.07,-0.13,0.1,-41.61,161.54,-278.05,211.95
EGKK,LEBB,0,A320,82,-16.16,21.66,-43.17,27.99,-0.01,0.08,-0.14,0.12,-29.05,200.01,-340.71,304.21
EGKK,LEBL,0,A20N,21,-5.47,53.57,-36.0,107.8,-0.01,0.11,-0.15,0.05,-30.29,261.07,-337.8,126.6
EGKK,LEBL,0,A21N,2,-4.3,24.04,-19.6,11.0,-0.03,0.05,-0.06,0.0,-64.9,120.35,-141.49,11.69
EGKK,LEBL,0,A319,21,-5.73,11.23,-14.6,15.5,-0.05,0.07,-0.16,0.04,-103.88,158.41,-356.0,85.9
EGKK,LEBL,0,A320,46,0.41,33.53,-23.72,26.48,-0.02,0.14,-0.19,0.2,-42.62,347.15,-484.25,488.8
EGKK,LEBL,0,A321,16,-6.88,16.88,-26.15,25.92,-0.04,0.09,-0.17,0.07,-122.06,245.74,-488.48,205.08
EGKK,LEBL,1,A20N,45,-3.55,8.42,-11.28,8.08,-0.05,0.1,-0.18,0.05,-114.59,229.26,-407.48,114.26
