ADEP,ADES,cluster_kmeans,AC Type,n,delta_dist_nm_mean,delta_dist_nm_std,delta_dist_nm_p5,delta_dist_nm_p95,delta_duration_h_mean,delta_duration_h_std,delta_duration_h_p5,delta_duration_h_p95,delta_fuel_kg_mean,delta_fuel_kg_std,delta_fuel_kg_p5,delta_fuel_kg_p95
CYUL,EGLL,2,B788,2,45.25,112.22,-26.17,116.66,0.32,0.01,0.32,0.33,1674.15,53.1,1640.36,1707.94
CYUL,EGLL,2,B789,18,28.94,53.06,-16.98,119.14,0.27,0.19,0.01,0.57,1459.23,1022.15,52.38,3125.36
CYUL,EGLL,2,B78X,3,37.7,5.92,33.43,43.51,0.27,0.07,0.2,0.33,1734.5,478.67,1277.75,2127.62
CYUL,EHAM,0,A21N,13,21.35,33.78,-14.5,77.04,0.14,0.19,-0.04,0.52,359.25,483.96,-108.7,1299.78
CYUL,EHAM,0,A332,13,19.03,24.45,-12.04,64.38,0.15,0.21,-0.12,0.45,886.05,1234.16,-729.88,2705.14
CYUL,EHAM,0,A333,8,26.36,44.62,-25.04,80.39,0.12,0.28,-0.28,0.44,763.8,1750.86,-1718.62,2728.19
CYUL,EHAM,0,B788,15,19.35,50.36,-23.51,101.24,0.14,0.19,-0.12,0.39,738.71,967.38,-648.43,2003.16
CYUL,EHAM,0,B789,2,13.85,3.75,11.46,16.24,0.15,0.01,0.14,0.15,815.9,47.52,785.66,846.14
CYUL,GMMN,0,A333,10,4.15,40.76,-23.94,73.96,0.07,0.21,-0.27,0.28,415.09,1285.94,-1693.84,1755.23
CYUL,GMMN,0,B788,8,-6.89,21.15,-27.75,26.83,0.04,0.2,-0.2,0.32,196.8,1024.63,-1045.63,1666.74
CYUL,GMMN,0,B789,8,0.47,23.46,-22.42,35.25,0.05,0.23,-0.3,0.27,256.5,1261.2,-1625.66,1458.4
CYUL,GMMN,1,A333,10,-0.19,31.92,-35.96,53.52,0.06,0.23,-0.22,0.41,384.1,1400.0,-1391.02,2524.58
CYUL,GMMN,1,B788,18,2.13,34.08,-36.92,67.76,0.08,0.14,-0.11,0.26,416.68,716.96,-548.3,1359.95
CYUL,GMMN,1,B789,16,-1.02,23.1,-30.25,35.7,0.03,0.17,-0.27,0.26,168.78,939.89,-1465.52,1419.68
CYUL,LFPG,0,A21N,3,1.4,28.38,-21.61,28.61,0.15,0.37,-0.14,0.51,369.9,927.77,-337.9,1273.91
CYUL,LFPG,0,A332,5,-3.14,24.06,-25.86,26.32,0.03,0.1,-0.06,0.15,162.68,579.85,-366.66,897.7
CYUL,LFPG,0,A333,2,-6.4,16.55,-16.93,4.13,0.02,0.3,-0.17,0.2,99.95,1836.43,-1068.74,1268.64
CYUL,LFPG,0,B772,2,4.7,48.08,-25.9,35.3,0.17,0.33,-0.04,0.38,1119.25,2205.11,-284.08,2522.57
CYUL,LFPG,0,B77W,9,-11.47,21.86,-44.22,16.08,0.09,0.22,-0.16,0.37,726.33,1730.04,-1223.56,2882.7
CYUL,LFPG,1,A21N,2,6.1,24.75,-9.65,21.85,0.12,0.05,0.1,0.15,311.5,113.42,239.32,383.68
CYUL,LFPG,1,A332,6,4.45,20.88,-16.52,32.3,0.01,0.3,-0.32,0.33,75.03,1799.92,-1938.72,1977.98
CYUL,LFPG,1,B772,3,6.43,6.25,0.82,12.07,0.06,0.19,-0.12,0.2,416.2,1241.56,-805.38,1295.13
CYUL,LFPG,1,B77W,20,-12.78,17.43,-49.53,5.85,0.07,0.12,-0.07,0.27,573.84,972.04,-579.88,2128.18
CYUL,LFPG,1,B788,2,-35.45,7.0,-39.9,-31.0,-0.04,0.11,-0.11,0.03,-205.1,551.54,-556.1,145.9
