ADEP,ADES,n,delta_dist_nm_self_mean,delta_dist_nm_self_std,delta_dist_nm_self_p5,delta_dist_nm_self_p95,delta_duration_h_self_mean,delta_duration_h_self_std,delta_duration_h_self_p5,delta_duration_h_self_p95,delta_fuel_kg_self_mean,delta_fuel_kg_self_std,delta_fuel_kg_self_p5,delta_fuel_kg_self_p95
BIKF,EDDF,52,-39.23,13.89,-61.58,-15.47,-0.12,0.08,-0.25,-0.01,-321.1,212.2,-664.6,-31.25
BIKF,EFHK,56,-2.99,6.11,-12.38,7.0,0.07,0.04,0.01,0.12,159.38,100.01,34.3,344.95
BIKF,EGLL,63,20.81,13.85,7.2,38.48,0.17,0.1,0.05,0.32,509.07,413.19,111.64,1212.9
BIKF,EHAM,91,5.54,9.53,-11.3,21.9,0.1,0.07,-0.01,0.2,243.44,185.67,-31.65,582.6
BIKF,EIDW,48,-13.19,23.72,-53.4,22.92,0.03,0.12,-0.14,0.2,124.02,345.33,-383.48,718.44
BIKF,EKCH,141,-12.01,9.04,-24.8,2.0,-0.05,0.06,-0.14,0.05,-137.6,166.81,-398.9,162.2
BIKF,ENGM,87,-11.42,11.31,-35.66,2.53,0.04,0.07,-0.11,0.13,113.36,209.99,-234.92,480.71
BIKF,ESSA,51,4.11,11.4,-12.2,21.8,0.11,0.07,0.01,0.21,262.67,184.92,20.75,623.9
BIKF,LFPG,84,-0.14,16.03,-30.14,21.65,0.03,0.07,-0.09,0.13,87.74,208.33,-218.13,406.55
BIKF,LIMC,49,-65.16,23.9,-98.08,-23.16,-0.17,0.12,-0.33,-0.03,-475.53,362.88,-1079.36,-63.68
BKPR,EDDL,65,-66.09,19.59,-93.44,-36.08,-0.11,0.13,-0.23,0.06,-282.65,301.86,-564.06,155.36
BKPR,EDDS,62,-49.97,13.48,-67.18,-30.41,-0.08,0.07,-0.17,0.02,-213.08,174.71,-482.39,68.29
BKPR,LFSB,106,-76.86,17.4,-104.28,-45.55,-0.14,0.08,-0.25,-0.02,-338.67,200.09,-624.5,-43.25
BKPR,LOWW,66,-41.45,16.33,-65.58,-21.48,-0.09,0.07,-0.18,0.02,-230.83,186.86,-513.3,45.38
BKPR,LSGG,68,-42.52,19.39,-68.42,-13.5,-0.14,0.09,-0.27,-0.02,-304.95,187.66,-584.05,-38.52
BKPR,LSZH,120,-46.51,23.84,-84.03,-14.1,-0.16,0.13,-0.35,0.03,-406.68,315.05,-864.5,63.25
BKPR,LTFJ,52,-20.38,23.57,-53.2,21.61,-0.01,0.14,-0.18,0.21,-26.27,325.8,-429.94,516.47
CYUL,EDDF,76,-43.25,22.55,-77.68,-5.45,-0.08,0.11,-0.25,0.07,-484.44,623.48,-1559.48,366.25
CYUL,EGLL,87,33.41,16.09,11.19,64.67,0.3,0.14,0.09,0.49,1676.94,779.39,487.83,2788.94
CYUL,EHAM,51,20.65,17.77,3.55,39.7,0.14,0.07,0.03,0.23,686.5,450.77,144.5,1281.25
CYUL,GMMN,70,0.15,13.56,-19.11,20.82,0.06,0.07,-0.06,0.16,311.69,396.65,-351.66,879.1
CYUL,LFPG,192,1.42,19.41,-37.88,27.5,0.09,0.09,-0.04,0.22,617.6,660.23,-315.75,1693.56
CYUL,LIRF,56,-34.08,20.24,-60.52,0.1,-0.05,0.08,-0.15,0.09,-372.12,563.44,-1070.88,610.88
CYUL,LPPT,68,-14.05,29.6,-65.96,28.76,0.09,0.11,-0.05,0.28,325.16,524.49,-303.56,1307.14
CYVR,EDDF,48,-55.98,30.84,-112.75,-8.26,-0.07,0.11,-0.25,0.09,-375.57,645.0,-1364.38,509.43
CYVR,EGLL,59,20.52,14.55,1.58,46.58,0.23,0.12,0.08,0.45,1538.03,756.76,599.6,2874.73
CYYC,EDDF,51,-48.19,39.93,-97.55,13.3,-0.1,0.09,-0.25,0.01,-570.99,525.42,-1389.9,47.8
CYYC,EGLL,60,16.47,33.48,-14.66,52.01,0.25,0.11,0.06,0.42,1400.65,593.29,344.0,2319.03
CYYZ,EDDF,84,-42.95,22.91,-74.49,-10.78,-0.08,0.09,-0.23,0.07,-453.89,529.53,-1312.15,360.6
CYYZ,EDDM,58,16.82,16.46,-7.78,43.14,0.03,0.08,-0.1,0.14,160.06,460.48,-613.39,788.91
CYYZ,EGKK,57,19.96,16.18,-9.02,43.02,0.17,0.13,-0.01,0.37,662.97,624.66,-87.82,2028.74
CYYZ,EGLL,178,29.37,15.9,5.1,53.12,0.26,0.13,0.06,0.45,1600.25,808.06,356.8,2993.82
CYYZ,EHAM,100,15.56,13.69,0.36,34.4,0.13,0.08,0.02,0.26,779.67,544.1,86.62,1593.72
CYYZ,EIDW,82,-1.61,54.45,-44.91,26.19,0.07,0.24,-0.1,0.26,335.49,1416.5,-603.86,1175.46
CYYZ,EPWA,56,-18.65,23.52,-52.72,16.62,0.0,0.09,-0.11,0.13,11.86,498.74,-581.2,664.48
CYYZ,LFPG,108,4.37,20.04,-38.56,31.49,0.1,0.1,-0.06,0.27,639.3,651.95,-236.26,1804.45
CYYZ,LIRF,63,-30.18,25.01,-64.08,20.7,-0.04,0.1,-0.22,0.08,-261.48,638.83,-1424.95,529.99
CYYZ,LPPT,93,-11.53,25.57,-55.74,25.28,0.09,0.1,-0.06,0.22,359.09,441.41,-206.64,1216.0
CYYZ,OMDB,60,21.19,18.22,-5.74,53.38,0.19,0.13,0.02,0.46,1415.39,880.32,203.6,2808.68
CYYZ,VIDP,60,28.29,31.61,-28.9,69.46,0.18,0.24,-0.12,0.54,1409.13,1874.17,-926.06,4249.19
DAAG,EDDF,58,-26.91,24.36,-65.13,10.42,-0.15,0.1,-0.29,-0.01,-383.26,269.91,-878.38,-28.21
DAAG,EGLL,50,7.63,16.14,-6.42,28.96,0.03,0.14,-0.16,0.23,66.15,582.73,-982.98,1170.05
DAAG,LFLL,51,18.25,12.94,-2.65,31.65,0.05,0.05,-0.04,0.13,120.4,140.43,-84.35,331.65
DAAG,LFML,123,16.56,25.12,-2.42,40.61,0.07,0.1,-0.1,0.17,171.93,215.64,-93.22,436.32
DAAG,LFPG,291,-6.77,15.94,-25.1,22.05,0.0,0.08,-0.12,0.12,17.8,246.05,-285.4,476.95
DAAG,LFPO,225,0.49,11.82,-15.74,21.24,0.03,0.08,-0.09,0.15,71.79,236.31,-254.66,379.86
DAAG,LIRF,55,-34.59,21.69,-61.5,0.86,-0.13,0.04,-0.19,-0.07,-307.12,104.95,-478.62,-164.98
DAAG,LTFM,172,-14.37,18.1,-37.1,17.6,0.02,0.14,-0.15,0.27,-9.99,530.93,-792.74,674.8
DAAG,OMDB,51,11.93,13.64,-7.5,33.75,0.16,0.1,-0.04,0.31,1169.69,778.77,-228.35,2265.25
DABC,LFML,59,14.7,15.82,-1.2,45.79,0.06,0.07,-0.05,0.18,156.43,181.68,-116.11,426.2
DAOO,LFML,61,11.32,17.6,-7.0,37.6,0.05,0.11,-0.1,0.24,117.16,274.11,-256.9,574.7
DAOO,LFPG,72,-7.49,15.68,-29.42,17.1,0.0,0.15,-0.14,0.14,0.9,358.38,-347.75,339.61
DAOO,LFPO,57,2.38,18.08,-29.64,27.48,0.01,0.09,-0.13,0.14,34.61,219.9,-300.3,343.86
DIAP,GMMN,55,0.91,24.59,-24.05,44.23,-0.02,0.09,-0.13,0.15,-54.6,213.89,-318.11,356.3
DIAP,LFPG,52,2.58,56.96,-39.33,42.21,0.12,0.13,-0.07,0.31,896.84,957.73,-458.72,2387.76
DNMM,EGLL,60,15.18,15.75,-6.25,44.97,0.04,0.12,-0.12,0.25,231.39,746.65,-876.34,1564.41
DTMB,LFPO,68,2.33,10.76,-14.5,17.32,0.05,0.07,-0.06,0.17,108.9,160.78,-153.3,396.16
DTTA,EDDF,96,-20.22,19.22,-53.0,7.15,-0.11,0.08,-0.21,0.03,-272.66,205.25,-544.6,83.05
DTTA,GMMN,102,-20.72,26.6,-66.6,10.38,-0.01,0.1,-0.16,0.16,-20.32,234.35,-383.83,365.64
DTTA,HLLB,74,14.42,8.18,3.89,27.07,0.1,0.05,0.02,0.17,239.69,123.96,52.9,433.61
DTTA,LFLL,91,16.35,14.75,-5.9,36.2,0.1,0.07,0.01,0.19,251.63,167.4,20.75,575.7
DTTA,LFML,106,13.66,32.42,-15.65,43.32,0.12,0.15,-0.01,0.26,286.53,349.05,-21.95,624.1
DTTA,LFMN,83,0.88,8.81,-8.58,19.73,0.04,0.05,-0.02,0.12,92.37,113.69,-54.23,283.45
DTTA,LFPG,188,-2.91,14.83,-35.43,23.45,0.04,0.07,-0.06,0.15,101.14,170.97,-149.9,365.36
DTTA,LFPO,239,3.67,15.69,-16.53,21.91,0.08,0.08,-0.02,0.17,215.98,227.63,-53.43,610.17
DTTA,LIMC,58,-40.87,19.26,-56.62,0.0,-0.13,0.08,-0.21,-0.03,-310.71,196.67,-500.0,-58.96
DTTA,LIRF,85,-33.69,23.88,-78.14,0.64,-0.08,0.07,-0.17,0.03,-182.82,155.71,-408.36,78.58
DTTA,LTFM,154,-18.25,24.26,-38.54,14.01,0.0,0.11,-0.1,0.15,6.09,286.7,-280.56,373.9
DTTJ,LFPG,98,0.97,50.04,-29.18,34.63,0.08,0.21,-0.03,0.17,194.5,522.93,-73.6,414.25
DTTJ,LFPO,114,-2.45,14.11,-19.96,20.49,0.04,0.06,-0.05,0.13,95.21,144.64,-127.42,321.18
EBBR,EDDB,128,6.16,14.44,-15.13,28.47,0.01,0.06,-0.08,0.11,28.66,148.76,-195.28,276.14
EBBR,EDDF,238,-52.13,14.37,-67.98,-31.71,-0.22,0.06,-0.31,-0.14,-500.83,151.32,-739.06,-273.3
EBBR,EDDH,61,-66.4,18.78,-96.6,-33.5,-0.21,0.06,-0.29,-0.14,-439.11,164.38,-676.4,-194.4
EBBR,EDDM,181,7.77,12.52,-6.6,33.3,-0.05,0.07,-0.17,0.06,-116.31,169.94,-391.0,134.5
EBBR,EDDP,92,-38.0,30.26,-92.88,3.57,-0.08,0.1,-0.23,0.07,-374.18,480.08,-1100.7,336.3
EBBR,EFHK,72,-3.72,11.45,-23.77,10.54,0.04,0.06,-0.04,0.13,141.22,221.13,-106.72,476.23
EBBR,EGCC,50,13.32,8.31,1.09,23.02,0.06,0.06,-0.01,0.16,140.95,149.27,-16.16,410.03
EBBR,EGLL,184,9.43,11.17,0.7,30.22,0.15,0.11,-0.0,0.33,353.17,277.64,-0.87,813.17
EBBR,EHAM,121,14.71,10.83,-8.1,31.3,0.1,0.06,-0.02,0.17,205.55,124.36,-27.0,399.3
EBBR,EIDW,141,-6.43,21.48,-38.3,32.7,-0.01,0.1,-0.13,0.16,-25.66,233.13,-299.2,398.6
EBBR,EKCH,187,-16.05,12.79,-38.48,1.64,-0.11,0.05,-0.19,-0.03,-233.03,122.06,-423.43,-69.87
EBBR,ENGM,87,-19.78,16.53,-45.28,4.22,-0.05,0.06,-0.15,0.04,-102.69,129.69,-286.33,80.87
EBBR,EPWA,128,-45.89,18.86,-68.95,-16.93,-0.1,0.08,-0.22,0.03,-217.98,169.12,-490.76,65.16
EBBR,ESGG,61,-10.38,11.81,-34.9,3.4,-0.04,0.04,-0.09,0.01,-93.84,77.83,-190.0,18.9
EBBR,ESSB,71,-5.82,7.06,-23.0,2.2,-0.03,0.04,-0.11,0.02,-58.86,91.25,-241.7,53.2
EBBR,GCTS,69,-23.25,14.34,-42.7,1.02,-0.08,0.09,-0.21,0.05,-195.49,211.56,-531.66,117.92
EBBR,GMMN,69,7.08,17.27,-13.74,39.26,0.05,0.1,-0.07,0.21,159.68,295.74,-158.4,663.4
EBBR,GMMW,51,15.61,12.34,2.85,29.05,0.08,0.09,-0.07,0.2,192.87,220.69,-161.35,511.8
EBBR,GMTT,62,-4.6,23.35,-34.5,27.88,0.05,0.11,-0.12,0.21,119.62,277.75,-295.33,535.11
EBBR,KJFK,57,0.51,4.92,-8.2,7.98,0.04,0.08,-0.09,0.17,209.68,471.67,-468.76,1018.66
EBBR,LEAL,123,-2.32,7.8,-14.37,12.77,0.04,0.07,-0.08,0.16,86.15,168.58,-187.02,378.8
EBBR,LEBL,211,-5.23,14.64,-24.95,18.3,-0.04,0.08,-0.15,0.09,-120.67,231.34,-565.05,208.2
EBBR,LEMD,297,-3.13,19.02,-31.92,26.08,0.01,0.1,-0.13,0.17,24.38,236.43,-306.62,405.98
EBBR,LEMG,148,-1.08,12.61,-17.45,24.34,0.05,0.09,-0.08,0.2,117.04,208.37,-188.48,496.96
EBBR,LEPA,62,-8.44,13.56,-28.76,12.8,-0.0,0.07,-0.1,0.11,-11.41,160.03,-231.02,275.02
EBBR,LEVC,58,-4.94,11.62,-13.96,8.54,-0.01,0.09,-0.15,0.1,-26.04,224.49,-375.28,253.04
EBBR,LFBO,62,0.39,7.44,-10.9,10.9,-0.01,0.05,-0.07,0.07,-14.56,101.21,-162.56,149.95
EBBR,LFLL,86,-1.04,14.84,-25.2,20.23,-0.05,0.09,-0.22,0.03,-138.33,266.37,-485.02,74.1
EBBR,LFML,63,1.11,15.21,-24.9,23.29,0.02,0.07,-0.07,0.16,61.63,241.27,-206.18,402.1
EBBR,LFMN,89,-19.0,30.79,-68.54,21.56,-0.09,0.14,-0.27,0.08,-207.22,325.25,-647.74,207.04
EBBR,LFPG,78,-2.86,14.81,-16.0,26.54,0.01,0.06,-0.07,0.11,59.55,202.64,-169.52,463.92
EBBR,LGAV,114,-7.85,19.96,-42.72,23.44,-0.03,0.09,-0.18,0.12,-62.5,215.58,-416.15,297.2
EBBR,LGIR,74,-4.94,10.56,-18.56,13.27,-0.04,0.06,-0.13,0.04,-101.06,158.18,-333.64,108.54
EBBR,LHBP,50,-15.98,15.03,-29.31,4.46,-0.05,0.05,-0.13,0.03,-119.51,118.15,-290.84,55.28
EBBR,LIMC,59,-44.64,12.0,-56.81,-27.37,-0.23,0.08,-0.32,-0.13,-665.66,454.6,-1657.01,-282.53
EBBR,LIML,148,27.72,18.68,-2.67,51.57,0.03,0.1,-0.13,0.19,77.09,223.6,-270.27,427.19
EBBR,LIRF,176,-25.37,19.94,-48.32,3.18,-0.12,0.1,-0.25,0.04,-298.89,230.81,-625.0,90.98
EBBR,LKPR,76,-12.93,13.06,-27.65,4.47,-0.05,0.06,-0.13,0.02,-122.17,131.33,-330.0,48.78
EBBR,LLBG,64,3.47,8.89,-8.58,17.74,-0.05,0.12,-0.26,0.08,-111.17,396.1,-646.6,263.7
EBBR,LOWW,188,10.44,16.33,-7.39,38.03,0.03,0.07,-0.07,0.16,83.82,173.48,-146.7,416.7
EBBR,LPFR,59,0.07,9.82,-11.16,14.93,-0.01,0.08,-0.13,0.09,-30.97,185.88,-333.4,211.56
EBBR,LPPR,72,-2.35,11.24,-22.23,15.72,0.03,0.06,-0.07,0.15,64.98,150.32,-185.42,345.32
EBBR,LPPT,178,-7.12,18.06,-45.54,18.37,0.04,0.09,-0.1,0.18,81.95,213.06,-250.99,420.2
EBBR,LSGG,165,-28.73,16.09,-46.4,-1.86,-0.09,0.1,-0.21,0.1,-199.5,218.06,-499.0,237.96
EBBR,LSZH,105,7.53,16.26,-31.1,32.28,0.05,0.09,-0.11,0.2,106.16,189.73,-246.16,401.98
EBBR,LTAI,70,0.59,15.51,-23.9,22.87,0.07,0.08,-0.04,0.25,169.78,202.77,-100.78,613.75
EBBR,LTFM,131,-17.16,21.72,-36.6,13.3,-0.02,0.11,-0.15,0.12,-93.52,424.16,-863.35,350.0
EBBR,OMDB,60,26.51,23.43,-2.46,62.68,0.26,0.11,0.12,0.52,2027.06,895.05,928.2,4079.86
EBBR,OTHH,68,34.88,21.15,5.4,77.42,0.15,0.09,0.02,0.32,1026.76,612.93,123.94,1946.56
EBCI,EGCC,69,15.88,26.74,2.88,27.64,0.08,0.17,-0.04,0.19,178.36,355.26,-89.0,429.7
EBCI,LEAL,50,-10.03,13.28,-21.51,9.17,0.06,0.05,-0.02,0.17,133.41,124.9,-49.18,377.32
EBCI,LEGE,55,-12.1,14.37,-25.39,9.61,-0.01,0.05,-0.06,0.11,-27.92,109.75,-153.92,262.6
EBCI,LFML,55,-4.41,17.43,-25.03,22.43,0.04,0.07,-0.05,0.17,100.51,162.97,-112.9,403.79
EBCI,LHBP,57,-19.13,14.59,-33.16,3.06,0.02,0.06,-0.06,0.11,51.36,144.71,-150.68,273.58
EBCI,LIME,72,-63.75,22.17,-86.29,-21.05,-0.1,0.07,-0.18,0.03,-230.45,161.67,-436.2,71.04
EBCI,LIPH,69,-31.54,15.37,-51.42,-10.04,-0.05,0.05,-0.13,0.04,-125.97,127.19,-318.0,93.2
EBCI,LIRP,51,-1.92,21.66,-41.35,22.65,0.01,0.07,-0.11,0.1,19.1,159.54,-247.05,224.0
EBCI,LROP,60,-45.96,17.29,-67.07,-16.24,-0.07,0.06,-0.17,0.03,-177.98,147.68,-417.86,70.5
EBCI,LTFJ,53,-27.78,21.09,-56.02,11.42,0.03,0.12,-0.14,0.24,69.22,283.56,-343.98,590.04
EBLG,LIMC,68,-87.53,33.0,-126.46,-43.12,-0.4,0.16,-0.6,-0.15,-544.18,320.33,-958.54,-279.1
EBLG,OTHH,61,16.52,29.21,-31.9,58.5,0.1,0.09,-0.04,0.25,803.19,670.17,-335.8,1954.3
EDDB,EBBR,128,-8.25,11.47,-22.52,13.45,-0.04,0.07,-0.15,0.08,-97.12,168.63,-355.01,196.74
EDDB,EDDF,364,-35.05,22.58,-57.8,-1.9,-0.21,0.09,-0.33,-0.08,-542.14,226.45,-855.6,-211.83
EDDB,EDDK,141,3.27,9.18,-10.2,13.7,0.03,0.05,-0.05,0.11,71.7,125.64,-130.6,242.6
EDDB,EDDL,135,1.66,9.08,-12.13,17.47,0.04,0.06,-0.05,0.15,97.2,133.02,-116.94,366.24
EDDB,EDDM,310,-45.78,27.81,-86.9,-0.41,-0.19,0.1,-0.36,-0.04,-450.78,248.41,-872.38,-101.62
EDDB,EDDS,175,-8.46,10.06,-21.3,8.53,-0.03,0.06,-0.14,0.06,-72.77,146.35,-341.21,152.14
EDDB,EFHK,121,-23.98,14.24,-49.8,-6.6,-0.02,0.06,-0.1,0.07,-57.75,142.95,-245.6,166.6
EDDB,EGCC,55,-19.45,20.77,-46.65,13.95,0.03,0.08,-0.11,0.14,56.99,186.98,-259.51,319.72
EDDB,EGKK,79,6.87,11.11,-7.71,20.12,0.18,0.17,0.03,0.41,430.47,397.06,82.52,953.02
EDDB,EGLC,80,-4.24,6.41,-12.24,4.11,0.04,0.06,-0.05,0.13,88.16,123.74,-108.76,275.91
EDDB,EGLL,143,4.73,12.54,-19.23,22.8,0.19,0.11,0.03,0.37,463.18,252.0,82.26,859.61
EDDB,EGSS,92,4.54,12.37,-8.0,22.54,0.1,0.12,0.0,0.18,231.18,276.21,9.1,422.18
EDDB,EHAM,288,2.31,9.71,-14.89,15.93,0.05,0.05,-0.03,0.14,121.94,120.11,-64.51,334.96
EDDB,EIDW,110,-11.14,19.07,-36.51,20.77,0.0,0.11,-0.13,0.19,5.16,276.43,-307.32,470.15
EDDB,EKCH,182,-39.35,15.42,-62.94,-10.97,-0.19,0.07,-0.3,-0.08,-434.22,165.4,-707.66,-165.48
EDDB,ELLX,63,-20.08,24.66,-43.68,9.33,-0.07,0.09,-0.18,0.05,-93.19,114.99,-249.8,53.5
EDDB,ENGM,95,-30.96,21.58,-58.93,-3.12,-0.09,0.08,-0.21,0.03,-207.11,177.29,-466.28,60.99
EDDB,ESSA,119,-8.55,16.03,-36.11,18.4,0.04,0.07,-0.06,0.15,96.29,164.67,-160.25,384.42
EDDB,EVRA,65,-6.19,12.16,-27.74,10.9,0.01,0.06,-0.09,0.12,8.11,138.22,-209.2,223.42
EDDB,LEBL,128,-20.73,18.08,-48.99,4.89,-0.06,0.08,-0.18,0.09,-133.95,199.93,-424.51,224.02
EDDB,LEMD,112,-13.9,14.97,-39.38,6.72,0.0,0.09,-0.14,0.15,6.17,219.44,-352.06,335.25
EDDB,LEMG,66,-18.83,16.39,-48.3,0.55,0.02,0.09,-0.08,0.18,44.32,210.88,-199.88,442.02
EDDB,LEPA,249,-21.51,15.44,-46.82,2.68,-0.02,0.07,-0.12,0.1,-44.31,163.95,-305.32,241.06
EDDB,LFPG,265,-5.4,14.9,-23.94,21.0,0.04,0.07,-0.06,0.14,86.34,162.84,-145.12,338.14
EDDB,LFPO,83,-8.76,37.81,-74.96,67.7,0.04,0.13,-0.18,0.29,99.08,322.55,-410.07,722.51
EDDB,LFSB,61,-23.49,8.37,-34.7,-9.8,-0.03,0.04,-0.08,0.03,-63.64,106.19,-210.4,71.5
EDDB,LGAV,60,-25.26,22.87,-63.07,7.31,0.02,0.11,-0.07,0.14,55.43,265.08,-173.29,396.68
EDDB,LGIR,53,-21.47,17.09,-55.96,0.18,-0.07,0.09,-0.21,0.06,-171.95,229.13,-536.04,148.6
EDDB,LGTS,57,-25.29,19.71,-56.14,16.16,-0.02,0.07,-0.1,0.1,-39.51,163.52,-259.86,259.14
EDDB,LHBP,66,-45.43,20.18,-72.58,-21.25,-0.03,0.08,-0.12,0.05,-72.9,192.71,-297.75,114.72
EDDB,LIML,79,2.38,28.17,-36.96,42.24,-0.02,0.09,-0.13,0.08,-43.56,210.52,-293.7,188.58
EDDB,LIPZ,62,-80.37,18.27,-104.12,-49.9,-0.25,0.07,-0.37,-0.13,-570.65,166.42,-822.84,-292.81
EDDB,LIRF,93,-78.02,27.38,-118.84,-33.76,-0.15,0.07,-0.25,-0.03,-351.05,168.85,-610.0,-68.76
EDDB,LLBG,78,-3.49,14.64,-27.98,17.43,-0.0,0.07,-0.13,0.12,-2.23,178.26,-312.66,280.0
EDDB,LOWW,221,-18.73,19.38,-54.0,12.6,-0.01,0.07,-0.12,0.1,-29.72,166.33,-268.3,250.0
EDDB,LPPT,90,-13.57,21.22,-42.31,22.14,0.05,0.1,-0.1,0.25,123.68,240.34,-235.5,572.81
EDDB,LSZH,225,-31.67,11.29,-47.98,-14.06,-0.08,0.1,-0.21,0.08,-194.94,242.74,-537.08,184.22
EDDB,LTAI,233,-6.26,18.15,-35.46,19.22,0.04,0.1,-0.1,0.2,98.18,236.51,-222.0,505.32
EDDB,LTBJ,74,9.96,16.7,-17.54,37.05,0.01,0.14,-0.12,0.13,26.29,318.32,-280.0,320.54
EDDB,LTFJ,100,-15.59,25.28,-44.71,38.62,0.01,0.12,-0.13,0.22,27.26,292.49,-333.4,546.52
EDDB,LTFM,138,-15.63,20.42,-44.7,10.66,0.03,0.11,-0.08,0.18,106.84,556.17,-325.49,853.96
EDDB,OTHH,60,23.58,17.67,-7.48,52.87,0.11,0.07,-0.01,0.21,609.73,412.25,-61.07,1213.28
EDDC,EDDF,130,-39.02,21.08,-66.31,-6.23,-0.21,0.07,-0.32,-0.09,-450.31,184.97,-754.48,-154.14
EDDC,EDDM,74,-15.82,15.86,-37.1,9.84,-0.11,0.06,-0.19,-0.03,-197.28,111.75,-349.05,-37.65
EDDC,LEPA,55,-3.61,13.1,-22.59,19.32,0.02,0.06,-0.09,0.14,47.32,149.94,-206.8,299.21
EDDF,BIKF,53,-5.85,12.68,-24.48,14.18,0.05,0.08,-0.09,0.15,147.27,231.47,-209.56,495.64
EDDF,CYUL,76,-5.53,8.27,-16.97,2.88,0.02,0.06,-0.1,0.1,84.29,334.44,-547.58,542.72
EDDF,CYVR,47,-7.92,9.4,-19.0,4.31,0.02,0.04,-0.04,0.07,100.78,229.66,-249.25,413.55
EDDF,CYYC,51,-1.79,64.71,-27.05,2.9,0.04,0.42,-0.11,0.07,259.38,2613.46,-678.55,381.35
EDDF,CYYZ,107,-5.96,8.09,-20.91,4.8,0.03,0.05,-0.07,0.1,148.93,303.86,-398.05,604.02
EDDF,DAAG,57,6.24,9.53,-9.56,20.76,0.01,0.05,-0.07,0.08,27.12,134.94,-160.84,186.86
EDDF,DTTA,92,13.45,13.72,-7.47,35.31,0.03,0.06,-0.05,0.14,80.63,149.04,-136.7,332.97
EDDF,EBBR,240,-10.12,11.61,-21.52,14.3,-0.07,0.06,-0.17,0.05,-172.73,145.71,-383.3,73.8
EDDF,EDDB,364,-2.87,16.26,-25.5,22.1,-0.05,0.07,-0.14,0.05,-121.54,178.57,-357.64,138.04
EDDF,EDDC,129,-2.86,12.13,-15.26,13.94,-0.05,0.04,-0.11,0.01,-106.2,96.28,-275.68,24.34
EDDF,EDDG,101,6.89,6.15,0.3,12.1,0.01,0.03,-0.04,0.05,9.25,44.59,-58.7,76.6
EDDF,EDDH,346,-33.61,13.32,-51.78,-5.0,-0.15,0.07,-0.26,-0.05,-368.17,163.79,-649.78,-133.57
EDDF,EDDL,124,-15.29,14.75,-37.96,8.41,-0.06,0.07,-0.16,0.08,-138.93,164.74,-395.47,189.88
EDDF,EDDM,345,6.56,24.28,-4.3,30.44,-0.07,0.08,-0.17,0.04,-191.93,193.05,-427.24,104.84
EDDF,EDDN,122,-43.74,21.16,-61.1,-4.32,-0.16,0.06,-0.25,-0.07,-315.35,147.25,-546.6,-120.41
EDDF,EDDP,174,-42.1,22.33,-79.45,-16.42,-0.14,0.08,-0.27,-0.03,-413.83,434.45,-1494.47,-58.45
EDDF,EDDS,111,-21.4,3.99,-24.85,-14.45,-0.05,0.03,-0.1,-0.0,-122.45,75.99,-239.8,-11.8
EDDF,EDDV,123,6.3,25.34,-2.3,14.75,-0.01,0.17,-0.09,0.05,-31.51,416.88,-221.25,106.74
EDDF,EDDW,134,1.4,4.4,-4.2,8.17,-0.05,0.04,-0.11,0.01,-103.32,83.66,-244.01,11.44
EDDF,EDNY,106,-5.86,4.64,-12.95,0.6,0.0,0.03,-0.04,0.05,3.11,41.09,-49.53,83.32
EDDF,EETN,75,-10.8,10.01,-27.99,1.89,-0.04,0.06,-0.13,0.05,-101.88,149.83,-333.57,129.5
EDDF,EFHK,137,-4.65,11.46,-22.52,13.64,-0.01,0.08,-0.14,0.1,-26.05,200.18,-337.54,284.28
EDDF,EGBB,122,-9.51,47.51,-34.98,6.58,0.01,0.22,-0.12,0.1,26.31,598.95,-306.11,233.24
EDDF,EGCC,105,5.33,12.45,-14.92,25.46,0.03,0.07,-0.06,0.14,87.41,175.91,-142.4,398.52
EDDF,EGKK,59,8.54,22.73,-13.88,30.36,0.11,0.19,-0.07,0.38,261.21,439.19,-179.29,956.2
EDDF,EGLC,159,-7.95,9.58,-17.78,3.59,-0.02,0.09,-0.12,0.05,-50.53,199.69,-256.6,120.95
EDDF,EGLL,425,3.89,14.53,-13.6,26.32,0.15,0.11,0.01,0.36,360.67,252.23,12.22,838.14
EDDF,EGPF,55,1.23,11.17,-14.85,14.39,0.03,0.06,-0.08,0.1,64.05,133.24,-173.08,234.89
EDDF,EGPH,77,3.0,9.64,-14.82,15.92,0.02,0.06,-0.05,0.09,64.12,154.18,-144.0,239.1
EDDF,EHAM,330,3.57,8.16,-10.48,17.16,-0.01,0.06,-0.11,0.08,-31.46,121.0,-242.96,170.38
EDDF,EIDW,158,-4.26,14.53,-24.98,20.89,-0.0,0.12,-0.13,0.15,-7.9,302.19,-318.42,373.72
EDDF,EKBI,100,-5.77,7.29,-13.62,3.01,-0.04,0.05,-0.13,0.02,-104.31,125.6,-298.17,34.83
EDDF,EKCH,188,-8.11,10.68,-25.23,9.5,-0.09,0.06,-0.18,0.0,-226.72,142.52,-452.84,1.0
EDDF,ELLX,130,-9.66,12.63,-26.9,7.5,-0.01,0.04,-0.07,0.06,-14.07,78.41,-134.1,111.61
EDDF,ENBR,54,-28.69,17.68,-62.04,-4.6,-0.1,0.07,-0.22,-0.01,-233.37,159.08,-495.36,-14.79
EDDF,ENGM,133,-16.65,14.21,-37.38,6.16,-0.08,0.07,-0.18,0.04,-191.44,185.29,-433.8,99.68
