ADEP,ADES,n,delta_dist_nm_self_mean,delta_dist_nm_self_std,delta_dist_nm_self_p5,delta_dist_nm_self_p95,delta_duration_h_self_mean,delta_duration_h_self_std,delta_duration_h_self_p5,delta_duration_h_self_p95,delta_fuel_kg_self_mean,delta_fuel_kg_self_std,delta_fuel_kg_self_p5,delta_fuel_kg_self_p95
LTFM,EDDF,250,-15.14,31.13,-44.93,16.67,-0.1,0.11,-0.25,0.06,-464.42,465.92,-1266.73,180.68
LTFM,EDDH,120,-26.27,25.73,-45.62,14.03,-0.04,0.17,-0.17,0.09,-188.85,619.61,-1029.06,252.54
LTFM,EDDK,116,4.76,19.45,-25.05,26.62,0.11,0.11,-0.01,0.21,390.95,578.41,-18.28,968.38
LTFM,EDDL,120,-7.27,16.08,-23.64,13.2,0.03,0.09,-0.08,0.15,44.84,331.37,-503.24,439.19
LTFM,EDDM,119,15.55,12.61,-1.92,40.97,0.04,0.06,-0.05,0.14,130.73,232.64,-315.03,431.9
LTFM,EDDN,90,19.17,20.76,-8.81,47.72,0.11,0.06,0.04,0.21,285.95,151.48,117.15,572.28
LTFM,EDDS,120,14.06,13.35,-2.2,31.71,0.08,0.07,-0.01,0.2,229.48,184.21,-35.32,549.56
LTFM,EDDV,104,11.43,15.88,-14.1,37.34,0.06,0.05,-0.02,0.14,161.46,153.19,-54.25,430.95
LTFM,EDDW,50,11.72,16.95,-9.41,36.71,0.1,0.06,0.01,0.2,256.8,154.74,36.54,546.24
LTFM,EFHK,69,-3.16,11.1,-19.28,14.84,0.05,0.06,-0.03,0.14,153.21,191.71,-116.02,454.56
LTFM,EGBB,58,0.69,16.08,-23.22,30.05,0.08,0.07,-0.01,0.17,186.03,150.15,-21.42,473.74
LTFM,EGCC,100,6.89,20.15,-29.86,37.36,0.07,0.08,-0.05,0.17,230.66,320.46,-177.48,773.83
LTFM,EGKK,115,17.12,17.19,-3.09,41.98,0.17,0.13,-0.0,0.36,439.99,322.29,-8.79,931.89
LTFM,EGLL,291,16.51,16.5,-2.5,45.65,0.18,0.12,0.02,0.42,837.66,831.92,42.05,2529.6
LTFM,EHAM,166,14.88,10.21,3.28,31.05,0.1,0.07,0.01,0.21,538.73,413.16,37.8,1182.32
LTFM,EIDW,77,8.3,17.68,-9.84,45.96,0.06,0.08,-0.04,0.2,173.71,250.65,-144.02,643.98
LTFM,EKCH,105,-12.23,22.6,-34.68,10.14,-0.05,0.11,-0.15,0.06,-113.85,283.53,-418.74,166.0
LTFM,ENGM,77,-1.42,19.53,-28.76,28.6,0.06,0.06,-0.02,0.19,171.78,198.6,-53.82,478.0
LTFM,EPWA,114,-15.4,22.85,-40.64,18.8,-0.02,0.08,-0.13,0.1,-38.35,159.67,-245.03,231.62
LTFM,ESGG,50,23.01,12.78,4.22,47.23,0.13,0.06,0.05,0.25,350.43,169.51,129.5,684.35
LTFM,ESSA,83,14.19,18.93,-15.37,48.55,0.11,0.09,0.01,0.28,301.13,235.44,31.3,725.66
LTFM,EVRA,59,9.18,19.74,-19.83,42.03,0.06,0.12,-0.07,0.16,129.62,283.04,-140.4,350.88
