ADEP,ADES,cluster_kmeans,n,delta_dist_nm_self_mean,delta_dist_nm_self_std,delta_dist_nm_self_p5,delta_dist_nm_self_p95,delta_duration_h_self_mean,delta_duration_h_self_std,delta_duration_h_self_p5,delta_duration_h_self_p95,delta_fuel_kg_self_mean,delta_fuel_kg_self_std,delta_fuel_kg_self_p5,delta_fuel_kg_self_p95
LFPG,CYYZ,1,37,-0.09,6.28,-13.08,6.3,0.04,0.04,0.0,0.11,206.84,198.37,17.86,510.92
LFPG,CYYZ,2,31,0.38,8.11,-8.1,10.05,0.04,0.03,0.0,0.09,223.85,186.03,15.15,475.7
LFPG,CYYZ,3,23,2.25,4.86,-0.54,7.39,0.05,0.05,-0.0,0.13,281.97,282.98,-17.04,837.95
LFPG,DAAG,0,290,-4.56,15.02,-26.31,17.08,0.02,0.08,-0.08,0.16,62.98,218.72,-248.48,450.02
LFPG,DAOO,0,72,-17.06,15.94,-33.68,10.07,-0.01,0.11,-0.16,0.23,-20.41,265.28,-394.31,544.99
LFPG,DIAP,0,53,-2.34,33.15,-21.6,18.1,0.03,0.07,-0.03,0.09,252.56,565.25,-270.4,675.6
LFPG,DTTA,0,188,1.07,14.67,-20.46,24.91,-0.01,0.07,-0.12,0.1,-19.68,163.89,-305.82,260.93
LFPG,DTTJ,0,75,-12.6,7.84,-25.1,-0.81,-0.02,0.04,-0.08,0.03,-56.12,91.57,-196.7,79.13
LFPG,DTTJ,1,20,-11.34,14.13,-32.06,11.79,0.01,0.05,-0.04,0.07,27.37,124.78,-106.56,183.74
LFPG,EBBR,0,74,18.39,9.3,-1.3,31.26,0.01,0.05,-0.07,0.09,42.19,195.84,-206.7,428.38
LFPG,EBBR,1,15,16.07,10.9,4.07,36.81,0.1,0.05,0.02,0.14,300.77,144.55,51.7,433.53
LFPG,EDDB,0,53,3.02,15.03,-20.36,25.98,0.03,0.05,-0.04,0.1,71.42,102.56,-81.72,220.44
LFPG,EDDB,1,17,-13.13,17.26,-36.52,17.34,-0.01,0.07,-0.1,0.08,-24.74,195.38,-312.6,239.38
LFPG,EDDB,2,35,7.61,13.37,-14.29,23.14,0.04,0.07,-0.07,0.14,92.5,167.77,-166.95,341.92
LFPG,EDDB,3,18,7.64,8.88,-5.57,19.31,0.06,0.04,-0.01,0.11,110.29,81.96,-14.56,212.55
LFPG,EDDB,4,31,0.15,13.0,-15.65,17.85,0.02,0.05,-0.06,0.09,42.22,122.96,-151.75,223.6
