ADEP,ADES,cluster_kmeans,n,delta_dist_nm_self_mean,delta_dist_nm_self_std,delta_dist_nm_self_p5,delta_dist_nm_self_p95,delta_duration_h_self_mean,delta_duration_h_self_std,delta_duration_h_self_p5,delta_duration_h_self_p95,delta_fuel_kg_self_mean,delta_fuel_kg_self_std,delta_fuel_kg_self_p5,delta_fuel_kg_self_p95
BIKF,EDDF,0,16,-33.04,19.77,-63.58,-5.12,-0.07,0.04,-0.15,-0.01,-188.29,155.53,-468.58,-16.5
BIKF,EDDF,1,36,-41.99,9.4,-57.9,-30.38,-0.14,0.08,-0.26,-0.02,-380.12,208.81,-686.02,-54.32
BIKF,EFHK,0,28,-3.45,5.82,-10.23,6.0,0.07,0.04,0.02,0.12,172.55,94.85,35.38,331.9
BIKF,EFHK,1,28,-2.53,6.46,-12.66,6.73,0.06,0.04,0.02,0.12,146.21,104.96,39.42,363.14
BIKF,EGLL,0,11,21.63,7.97,14.35,34.95,0.17,0.08,0.08,0.3,557.09,434.03,168.0,1279.5
BIKF,EGLL,1,22,16.73,19.6,-24.63,38.46,0.18,0.11,0.04,0.32,556.44,406.15,89.38,1215.9
BIKF,EGLL,2,30,23.5,9.47,11.52,39.32,0.16,0.1,0.06,0.35,456.72,418.53,138.25,1041.45
BIKF,EHAM,0,47,7.33,7.42,-2.17,22.02,0.11,0.06,0.04,0.2,272.67,134.55,111.7,465.8
BIKF,EHAM,1,28,5.07,8.96,-11.42,12.36,0.08,0.07,-0.01,0.2,214.22,200.12,-32.74,622.33
BIKF,EHAM,2,16,1.11,14.12,-20.98,15.28,0.08,0.09,-0.07,0.2,208.7,271.45,-158.18,644.65
BIKF,EIDW,0,31,-8.85,23.11,-54.25,23.25,0.06,0.11,-0.12,0.19,199.75,328.09,-377.3,758.85
BIKF,EIDW,1,17,-21.09,23.44,-49.3,21.2,-0.01,0.14,-0.15,0.22,-14.05,342.2,-348.38,582.52
BIKF,EKCH,0,141,-12.01,9.04,-24.8,2.0,-0.05,0.06,-0.14,0.05,-137.6,166.81,-398.9,162.2
BIKF,ENGM,0,87,-11.42,11.31,-35.66,2.53,0.04,0.07,-0.11,0.13,113.36,209.99,-234.92,480.71
BIKF,ESSA,0,51,4.11,11.4,-12.2,21.8,0.11,0.07,0.01,0.21,262.67,184.92,20.75,623.9
BIKF,LFPG,0,13,-1.75,11.02,-18.42,12.64,0.05,0.06,-0.02,0.14,121.22,165.23,-107.18,367.7
BIKF,LFPG,1,23,3.51,15.45,-17.49,36.05,0.01,0.06,-0.08,0.08,46.12,168.96,-193.08,304.77
BIKF,LFPG,2,33,-2.45,18.58,-42.26,22.16,0.02,0.09,-0.11,0.12,55.75,214.74,-255.2,349.64
BIKF,LFPG,3,15,0.74,14.74,-29.89,15.39,0.05,0.06,-0.03,0.14,192.9,255.93,-66.22,611.42
BIKF,LIMC,0,33,-61.12,23.25,-92.52,-23.84,-0.16,0.07,-0.29,-0.08,-458.61,265.06,-758.16,-192.68
BIKF,LIMC,1,16,-73.49,23.78,-101.4,-24.98,-0.18,0.19,-0.38,0.09,-510.44,519.21,-1160.0,207.75
BKPR,EDDL,0,41,-68.54,15.59,-93.7,-40.3,-0.12,0.14,-0.22,0.06,-289.86,328.6,-556.9,150.0
BKPR,EDDL,1,24,-61.91,24.82,-88.6,-10.38,-0.11,0.1,-0.24,0.05,-270.33,255.93,-564.45,141.94
BKPR,EDDS,0,40,-46.8,13.88,-66.87,-25.38,-0.07,0.06,-0.16,0.05,-205.72,173.94,-439.01,126.23
BKPR,EDDS,1,22,-55.74,10.77,-67.15,-36.76,-0.09,0.07,-0.24,-0.01,-226.46,179.41,-594.84,-21.45
BKPR,LFSB,0,59,-71.69,14.37,-90.94,-48.54,-0.13,0.07,-0.24,-0.03,-317.85,183.12,-600.06,-62.48
BKPR,LFSB,1,47,-83.35,18.8,-111.44,-48.56,-0.15,0.09,-0.25,-0.01,-364.81,218.75,-623.98,-20.14
BKPR,LOWW,0,21,-41.95,20.86,-66.8,-3.1,-0.07,0.08,-0.17,0.03,-182.07,210.8,-416.7,93.3
BKPR,LOWW,1,45,-41.22,14.0,-64.74,-21.84,-0.1,0.07,-0.18,0.01,-253.59,172.4,-513.38,33.28
BKPR,LSGG,0,26,-23.32,9.67,-35.4,-13.32,-0.19,0.08,-0.31,-0.08,-424.25,163.18,-630.38,-204.25
BKPR,LSGG,1,42,-54.4,13.38,-69.93,-37.95,-0.1,0.08,-0.2,-0.0,-231.1,163.4,-427.18,-10.96
BKPR,LSZH,0,24,-42.89,10.25,-62.84,-31.44,-0.13,0.09,-0.27,0.0,-318.47,218.08,-649.22,6.31
BKPR,LSZH,1,78,-41.42,23.35,-65.4,4.61,-0.16,0.14,-0.33,0.07,-404.21,340.29,-816.73,165.62
BKPR,LSZH,2,18,-73.37,21.55,-99.74,-41.73,-0.21,0.11,-0.38,-0.08,-535.02,278.37,-956.26,-194.43
BKPR,LTFJ,0,15,-38.29,20.85,-54.7,-2.64,-0.11,0.1,-0.21,0.06,-269.01,241.62,-504.0,148.0
BKPR,LTFJ,1,37,-13.11,20.73,-45.26,20.94,0.03,0.13,-0.13,0.23,72.14,305.24,-317.8,545.94
CYUL,EDDF,0,18,-40.56,24.68,-76.32,-1.99,-0.06,0.11,-0.23,0.09,-329.27,642.6,-1302.8,469.15
CYUL,EDDF,1,16,-50.08,23.96,-80.1,-15.4,-0.1,0.13,-0.28,0.11,-619.57,794.14,-1737.75,632.15
CYUL,EDDF,2,25,-53.16,16.51,-76.88,-24.16,-0.1,0.1,-0.26,0.03,-606.39,592.01,-1613.34,147.56
CYUL,EDDF,3,17,-25.11,15.22,-47.82,-2.96,-0.06,0.08,-0.19,0.05,-342.21,420.0,-1067.0,263.96
CYUL,EGLL,0,33,33.44,13.65,14.6,60.34,0.32,0.09,0.2,0.46,1808.04,512.52,1150.34,2626.26
CYUL,EGLL,1,31,34.79,19.01,9.2,67.4,0.29,0.17,0.05,0.6,1658.38,994.89,343.4,3433.7
CYUL,EGLL,2,23,31.49,15.56,12.25,51.35,0.27,0.14,0.08,0.47,1513.86,767.27,458.2,2781.46
CYUL,EHAM,0,51,20.65,17.77,3.55,39.7,0.14,0.07,0.03,0.23,686.5,450.77,144.5,1281.25
CYUL,GMMN,0,26,-0.36,12.17,-14.05,17.15,0.05,0.06,-0.04,0.15,299.11,364.55,-269.75,773.48
CYUL,GMMN,1,44,0.45,14.44,-22.99,21.1,0.06,0.08,-0.07,0.16,319.12,418.38,-378.87,901.64
CYUL,LFPG,0,21,-5.59,19.2,-41.9,13.7,0.09,0.09,-0.02,0.22,518.97,560.84,-162.5,1534.0
CYUL,LFPG,1,33,-8.14,20.89,-45.16,14.62,0.06,0.09,-0.07,0.2,405.7,673.78,-430.42,1585.56
CYUL,LFPG,2,48,6.15,16.53,-31.65,32.71,0.08,0.07,-0.04,0.19,489.87,486.22,-260.06,1430.2
CYUL,LFPG,3,65,6.63,16.73,-23.46,26.12,0.12,0.1,-0.03,0.27,879.13,753.77,-195.4,1902.74
CYUL,LFPG,4,6,16.28,15.04,-1.9,35.2,0.12,0.05,0.05,0.18,809.05,480.84,255.15,1434.9
CYUL,LFPG,5,19,-8.73,21.82,-47.34,18.7,0.06,0.08,-0.05,0.17,462.17,587.57,-392.27,1330.77
CYUL,LIRF,0,33,-33.15,20.82,-60.78,1.96,-0.06,0.08,-0.16,0.07,-439.53,600.01,-1218.1,494.82
CYUL,LIRF,1,23,-35.42,19.76,-58.15,-9.42,-0.04,0.08,-0.15,0.08,-275.4,503.41,-890.83,618.8
CYUL,LPPT,0,16,-17.76,39.61,-81.2,33.3,0.09,0.13,-0.07,0.35,374.47,649.87,-296.2,1532.48
CYUL,LPPT,1,24,-10.53,18.69,-42.3,7.65,0.08,0.1,-0.05,0.22,347.89,584.35,-244.38,1362.91
CYUL,LPPT,2,28,-14.95,31.38,-64.59,35.78,0.09,0.11,-0.05,0.28,277.5,390.98,-245.25,854.36
CYVR,EDDF,0,18,-45.96,29.6,-78.86,-5.25,-0.07,0.14,-0.31,0.09,-410.04,825.17,-1839.8,499.48
CYVR,EDDF,1,7,-81.63,51.33,-137.8,-12.65,-0.07,0.1,-0.19,0.06,-410.31,560.98,-1046.68,315.19
CYVR,EDDF,2,5,-54.26,21.92,-76.2,-28.68,-0.07,0.16,-0.26,0.08,-373.68,882.09,-1414.1,439.98
CYVR,EDDF,3,18,-56.51,18.22,-78.12,-36.27,-0.06,0.08,-0.16,0.08,-328.12,413.5,-879.92,463.29
CYVR,EGLL,0,16,14.11,11.4,-0.42,33.42,0.21,0.1,0.09,0.37,1331.28,593.66,545.72,2235.73
CYVR,EGLL,1,22,20.37,17.04,1.76,47.18,0.24,0.15,0.08,0.48,1587.2,861.59,655.34,2997.98
CYVR,EGLL,2,21,25.55,12.35,11.4,46.5,0.23,0.11,0.1,0.39,1644.02,753.89,608.8,2873.0
CYYC,EDDF,0,15,-36.51,59.24,-99.78,87.75,-0.09,0.12,-0.24,0.09,-491.89,707.97,-1269.9,538.76
CYYC,EDDF,1,16,-68.81,21.64,-100.55,-41.28,-0.09,0.07,-0.19,-0.0,-488.95,358.1,-977.55,-3.25
CYYC,EDDF,2,20,-40.47,26.67,-72.1,-15.05,-0.12,0.08,-0.26,-0.03,-695.94,478.41,-1620.35,-160.89
CYYC,EGLL,0,27,29.81,43.73,-9.49,76.2,0.28,0.11,0.08,0.47,1566.3,628.79,448.95,2562.52
CYYC,EGLL,1,18,6.23,16.8,-14.97,33.58,0.22,0.11,0.05,0.37,1183.61,596.89,264.9,2007.62
CYYC,EGLL,2,15,4.74,14.3,-15.99,23.54,0.25,0.08,0.1,0.35,1362.94,448.88,550.79,1931.87
CYYZ,EDDF,0,11,-33.12,29.47,-79.15,-6.2,-0.06,0.12,-0.23,0.09,-306.24,638.67,-1267.55,465.65
CYYZ,EDDF,1,47,-44.86,19.52,-72.94,-15.18,-0.08,0.08,-0.22,0.03,-489.98,504.71,-1279.87,168.12
CYYZ,EDDF,2,26,-43.67,25.38,-76.4,-6.58,-0.08,0.09,-0.21,0.05,-451.13,535.75,-1239.95,283.1
CYYZ,EDDM,0,26,16.58,17.1,-7.32,45.3,0.02,0.05,-0.06,0.1,101.78,319.53,-363.68,610.82
CYYZ,EDDM,1,17,20.75,15.05,-0.74,38.72,0.04,0.11,-0.1,0.23,248.01,649.27,-635.86,1354.72
CYYZ,EDDM,2,15,12.77,16.9,-8.47,35.42,0.03,0.07,-0.08,0.11,161.39,428.38,-489.99,670.8
CYYZ,EGKK,0,25,23.26,17.25,-7.48,47.04,0.2,0.13,0.02,0.43,729.1,483.36,123.36,1377.74
CYYZ,EGKK,1,14,12.34,17.13,-14.87,35.7,0.11,0.1,-0.02,0.25,448.41,591.78,-138.91,1434.02
CYYZ,EGKK,2,18,21.31,12.33,2.86,38.2,0.18,0.14,-0.03,0.37,738.01,798.38,-169.05,2219.61
CYYZ,EGLL,0,16,23.33,17.19,-5.38,47.95,0.3,0.17,0.11,0.54,1888.36,1079.91,630.93,3748.82
CYYZ,EGLL,1,39,27.19,16.5,7.91,50.57,0.27,0.14,0.07,0.47,1666.78,894.67,522.03,3190.6
CYYZ,EGLL,2,61,29.82,17.16,3.4,57.5,0.25,0.14,0.05,0.42,1517.25,846.55,301.0,2649.8
CYYZ,EGLL,3,62,31.86,13.51,10.59,52.68,0.26,0.1,0.06,0.38,1565.7,609.64,401.66,2279.07
CYYZ,EHAM,0,29,11.13,14.74,-13.78,32.22,0.13,0.07,0.03,0.26,762.29,509.95,106.86,1577.14
CYYZ,EHAM,1,32,16.33,13.1,1.64,36.66,0.12,0.08,-0.02,0.22,839.84,540.34,-179.41,1728.98
CYYZ,EHAM,2,8,16.34,6.79,9.24,25.95,0.15,0.08,0.05,0.26,767.49,524.31,112.98,1439.22
CYYZ,EHAM,3,31,18.72,14.05,0.6,33.5,0.13,0.08,0.02,0.25,736.96,601.94,118.5,1522.6
CYYZ,EIDW,0,22,-12.72,20.26,-39.58,23.78,0.02,0.11,-0.14,0.18,58.08,611.71,-826.61,949.92
CYYZ,EIDW,1,36,-2.23,20.17,-35.43,22.9,0.07,0.08,-0.05,0.22,283.66,393.24,-281.62,964.75
CYYZ,EIDW,2,24,9.5,95.91,-56.68,33.97,0.13,0.42,-0.09,0.43,667.55,2509.28,-558.46,2396.16
CYYZ,EPWA,0,38,-14.89,24.34,-51.6,17.09,0.0,0.07,-0.1,0.13,6.83,389.46,-513.62,654.08
CYYZ,EPWA,1,18,-26.59,20.04,-62.1,5.35,0.0,0.13,-0.11,0.14,22.48,688.81,-573.0,796.27
CYYZ,LFPG,0,32,9.7,18.85,-12.92,50.0,0.1,0.1,-0.04,0.28,647.1,672.68,-182.6,1829.51
CYYZ,LFPG,1,24,6.16,16.68,-30.43,22.36,0.12,0.09,0.02,0.25,813.8,592.44,143.08,1538.7
CYYZ,LFPG,2,16,-2.3,19.04,-42.55,21.55,0.08,0.1,-0.08,0.22,476.38,675.36,-564.08,1713.82
CYYZ,LFPG,3,15,3.11,21.03,-38.42,22.3,0.13,0.11,-0.01,0.3,803.77,709.4,-62.39,2046.19
CYYZ,LFPG,4,21,0.16,24.35,-40.8,31.7,0.08,0.1,-0.07,0.24,434.63,593.69,-522.2,1343.3
CYYZ,LIRF,0,27,-31.71,28.4,-66.05,20.63,-0.04,0.11,-0.24,0.09,-250.45,729.68,-1501.17,710.45
CYYZ,LIRF,1,20,-34.32,18.96,-62.49,-8.26,-0.07,0.09,-0.23,0.02,-464.7,569.72,-1448.5,132.87
CYYZ,LIRF,2,16,-22.42,25.31,-52.15,21.75,-0.01,0.08,-0.15,0.1,-26.07,488.28,-895.08,629.67
CYYZ,LPPT,0,36,-8.4,21.96,-41.52,15.9,0.1,0.09,-0.03,0.22,445.11,385.22,-118.78,1074.97
CYYZ,LPPT,1,37,-10.39,27.57,-62.3,31.28,0.08,0.1,-0.07,0.24,303.16,444.86,-257.64,1095.3
CYYZ,LPPT,2,20,-19.27,27.45,-52.24,9.2,0.07,0.09,-0.04,0.2,307.72,521.74,-237.7,1245.16
CYYZ,OMDB,0,19,9.65,12.55,-9.2,29.98,0.09,0.08,-0.02,0.23,1115.26,984.55,-225.03,2706.97
CYYZ,OMDB,1,15,31.85,17.82,9.48,60.66,0.28,0.1,0.18,0.48,1524.51,550.02,965.52,2638.72
CYYZ,OMDB,2,26,23.48,17.81,-4.9,51.78,0.22,0.13,0.04,0.46,1571.75,927.66,381.7,2944.18
CYYZ,VIDP,0,30,34.88,29.66,-7.01,84.99,0.3,0.24,0.05,0.61,2357.77,1839.13,361.98,4731.02
CYYZ,VIDP,1,30,21.7,32.6,-36.52,66.77,0.06,0.18,-0.13,0.4,460.49,1379.09,-1044.96,3159.0
DAAG,EDDF,0,29,-21.39,16.84,-50.38,8.1,-0.15,0.07,-0.24,-0.02,-385.82,170.33,-623.76,-52.16
DAAG,EDDF,1,29,-32.42,29.36,-65.6,10.98,-0.14,0.12,-0.33,0.01,-380.69,345.37,-927.26,23.72
DAAG,EGLL,0,22,12.22,21.07,2.04,33.96,0.08,0.15,-0.07,0.23,162.54,499.0,-169.97,582.29
DAAG,EGLL,1,28,4.03,9.86,-6.54,20.71,-0.0,0.13,-0.17,0.23,-9.58,639.59,-995.66,1252.26
DAAG,LFLL,0,51,18.25,12.94,-2.65,31.65,0.05,0.05,-0.04,0.13,120.4,140.43,-84.35,331.65
DAAG,LFML,0,103,18.27,25.99,2.2,40.61,0.09,0.09,-0.01,0.17,208.83,212.55,-16.08,437.52
DAAG,LFML,1,20,7.74,18.17,-10.38,38.12,-0.02,0.12,-0.13,0.09,-18.1,103.25,-106.79,74.92
DAAG,LFPG,0,85,-10.23,11.3,-24.28,9.4,0.0,0.06,-0.08,0.09,23.87,191.63,-208.28,363.04
DAAG,LFPG,1,73,-13.68,13.63,-33.38,6.9,-0.04,0.09,-0.15,0.11,-111.31,280.82,-402.76,216.6
DAAG,LFPG,2,133,-0.76,17.46,-18.26,29.3,0.02,0.07,-0.07,0.13,84.79,229.9,-207.68,540.7
DAAG,LFPO,0,175,-0.66,10.36,-13.84,17.43,0.03,0.06,-0.07,0.15,87.6,223.12,-244.5,379.51
DAAG,LFPO,1,50,4.51,15.36,-17.56,35.34,0.01,0.11,-0.11,0.17,16.47,272.92,-259.52,413.5
DAAG,LIRF,0,55,-34.59,21.69,-61.5,0.86,-0.13,0.04,-0.19,-0.07,-307.12,104.95,-478.62,-164.98
DAAG,LTFM,0,129,-12.31,17.02,-34.8,17.6,0.05,0.15,-0.16,0.28,66.44,571.78,-793.08,724.92
DAAG,LTFM,1,21,-10.88,19.38,-31.9,17.9,-0.05,0.07,-0.14,0.04,-235.94,292.79,-611.4,205.0
DAAG,LTFM,2,22,-29.74,16.12,-58.36,-10.03,-0.05,0.06,-0.13,0.05,-242.52,278.18,-720.92,145.1
DAAG,OMDB,0,21,10.32,10.92,-2.8,25.1,0.11,0.12,-0.04,0.33,674.12,703.85,-245.0,1958.3
DAAG,OMDB,1,30,13.06,15.34,-9.04,34.69,0.19,0.08,0.08,0.29,1516.59,633.78,588.8,2269.48
DABC,LFML,0,59,14.7,15.82,-1.2,45.79,0.06,0.07,-0.05,0.18,156.43,181.68,-116.11,426.2
DAOO,LFML,0,61,11.32,17.6,-7.0,37.6,0.05,0.11,-0.1,0.24,117.16,274.11,-256.9,574.7
DAOO,LFPG,0,72,-7.49,15.68,-29.42,17.1,0.0,0.15,-0.14,0.14,0.9,358.38,-347.75,339.61
DAOO,LFPO,0,57,2.38,18.08,-29.64,27.48,0.01,0.09,-0.13,0.14,34.61,219.9,-300.3,343.86
DIAP,GMMN,0,55,0.91,24.59,-24.05,44.23,-0.02,0.09,-0.13,0.15,-54.6,213.89,-318.11,356.3
DIAP,LFPG,0,52,2.58,56.96,-39.33,42.21,0.12,0.13,-0.07,0.31,896.84,957.73,-458.72,2387.76
DNMM,EGLL,0,21,13.79,10.48,-6.2,30.3,0.02,0.1,-0.1,0.19,119.5,618.79,-667.0,1074.6
DNMM,EGLL,1,22,13.96,20.65,-17.54,57.83,0.06,0.13,-0.12,0.24,380.72,907.3,-932.86,1905.8
DNMM,EGLL,2,17,18.48,14.19,-0.94,45.5,0.03,0.11,-0.1,0.24,176.35,668.07,-579.0,1412.26
DTMB,LFPO,0,68,2.33,10.76,-14.5,17.32,0.05,0.07,-0.06,0.17,108.9,160.78,-153.3,396.16
DTTA,EDDF,0,22,-22.12,14.19,-46.47,-0.71,-0.11,0.05,-0.19,-0.02,-277.61,135.57,-474.0,-43.4
DTTA,EDDF,1,27,-20.23,18.53,-50.91,6.88,-0.13,0.07,-0.22,0.0,-326.21,189.98,-525.68,7.05
DTTA,EDDF,2,19,-24.54,18.77,-47.03,0.83,-0.09,0.09,-0.21,0.04,-240.43,231.83,-588.01,91.49
DTTA,EDDF,3,28,-15.8,23.28,-52.55,17.64,-0.09,0.09,-0.21,0.07,-238.99,241.98,-546.2,183.3
DTTA,GMMN,0,42,-2.02,12.31,-13.6,14.79,0.06,0.07,-0.03,0.17,120.91,161.11,-74.98,383.88
DTTA,GMMN,1,17,-13.53,16.02,-27.32,9.2,0.01,0.09,-0.12,0.17,12.9,218.88,-281.04,396.9
DTTA,GMMN,2,43,-41.83,25.07,-74.36,-1.43,-0.07,0.09,-0.18,0.07,-171.41,211.45,-439.87,168.63
DTTA,HLLB,0,74,14.42,8.18,3.89,27.07,0.1,0.05,0.02,0.17,239.69,123.96,52.9,433.61
DTTA,LFLL,0,91,16.35,14.75,-5.9,36.2,0.1,0.07,0.01,0.19,251.63,167.4,20.75,575.7
DTTA,LFML,0,106,13.66,32.42,-15.65,43.32,0.12,0.15,-0.01,0.26,286.53,349.05,-21.95,624.1
DTTA,LFMN,0,83,0.88,8.81,-8.58,19.73,0.04,0.05,-0.02,0.12,92.37,113.69,-54.23,283.45
DTTA,LFPG,0,111,-4.94,15.13,-37.45,16.75,0.04,0.07,-0.06,0.14,101.34,173.32,-154.75,356.1
DTTA,LFPG,1,11,12.45,13.11,-9.4,25.15,0.05,0.07,-0.04,0.16,114.78,168.63,-101.0,374.35
DTTA,LFPG,2,66,-2.06,13.07,-12.5,29.42,0.04,0.07,-0.06,0.15,98.54,169.83,-150.73,381.12
DTTA,LFPO,0,214,3.86,15.98,-13.78,21.94,0.08,0.08,-0.02,0.17,220.71,232.19,-51.16,612.1
DTTA,LFPO,1,25,2.02,13.16,-18.86,19.5,0.06,0.05,-0.05,0.14,175.46,182.9,-118.3,554.8
DTTA,LIMC,0,58,-40.87,19.26,-56.62,0.0,-0.13,0.08,-0.21,-0.03,-310.71,196.67,-500.0,-58.96
DTTA,LIRF,0,85,-33.69,23.88,-78.14,0.64,-0.08,0.07,-0.17,0.03,-182.82,155.71,-408.36,78.58
DTTA,LTFM,0,84,-14.9,30.47,-40.36,26.18,0.01,0.13,-0.1,0.16,5.55,346.34,-298.74,452.6
DTTA,LTFM,1,70,-22.26,12.6,-37.98,-1.68,0.0,0.08,-0.1,0.12,6.74,194.87,-245.5,291.7
DTTJ,LFPG,0,79,-5.98,15.35,-30.98,29.93,0.05,0.06,-0.03,0.16,132.01,144.5,-76.57,405.64
DTTJ,LFPG,1,19,29.87,106.67,-13.8,109.28,0.18,0.46,0.01,0.36,454.31,1137.88,26.92,896.89
DTTJ,LFPO,0,52,-1.5,11.81,-21.04,15.71,0.04,0.06,-0.04,0.13,101.81,136.11,-93.4,323.06
DTTJ,LFPO,1,62,-3.26,15.83,-19.2,21.8,0.04,0.06,-0.05,0.13,89.68,152.31,-131.86,309.77
EBBR,EDDB,0,49,6.31,14.68,-15.56,32.6,0.01,0.07,-0.08,0.1,15.42,164.33,-201.68,258.06
EBBR,EDDB,1,53,4.78,14.34,-15.08,26.12,0.0,0.05,-0.08,0.08,5.6,111.46,-175.52,181.96
EBBR,EDDB,2,26,8.7,14.35,-12.98,27.42,0.04,0.07,-0.03,0.13,100.63,166.94,-82.02,316.7
EBBR,EDDF,0,211,-50.73,14.2,-66.0,-30.25,-0.21,0.05,-0.29,-0.14,-496.28,139.53,-711.05,-275.95
EBBR,EDDF,1,27,-63.07,10.63,-77.24,-41.41,-0.25,0.08,-0.41,-0.15,-536.41,223.57,-945.34,-263.84
EBBR,EDDH,0,61,-66.4,18.78,-96.6,-33.5,-0.21,0.06,-0.29,-0.14,-439.11,164.38,-676.4,-194.4
EBBR,EDDM,0,181,7.77,12.52,-6.6,33.3,-0.05,0.07,-0.17,0.06,-116.31,169.94,-391.0,134.5
EBBR,EDDP,0,29,-31.75,29.14,-73.98,6.02,-0.06,0.1,-0.2,0.07,-370.49,638.51,-1190.38,533.88
EBBR,EDDP,1,63,-40.87,30.55,-93.73,1.43,-0.09,0.09,-0.23,0.08,-375.87,392.63,-929.28,271.32
EBBR,EFHK,0,72,-3.72,11.45,-23.77,10.54,0.04,0.06,-0.04,0.13,141.22,221.13,-106.72,476.23
EBBR,EGCC,0,50,13.32,8.31,1.09,23.02,0.06,0.06,-0.01,0.16,140.95,149.27,-16.16,410.03
EBBR,EGLL,0,184,9.43,11.17,0.7,30.22,0.15,0.11,-0.0,0.33,353.17,277.64,-0.87,813.17
EBBR,EHAM,0,121,14.71,10.83,-8.1,31.3,0.1,0.06,-0.02,0.17,205.55,124.36,-27.0,399.3
EBBR,EIDW,0,141,-6.43,21.48,-38.3,32.7,-0.01,0.1,-0.13,0.16,-25.66,233.13,-299.2,398.6
EBBR,EKCH,0,187,-16.05,12.79,-38.48,1.64,-0.11,0.05,-0.19,-0.03,-233.03,122.06,-423.43,-69.87
EBBR,ENGM,0,34,-24.34,22.52,-54.18,19.9,-0.06,0.07,-0.17,0.06,-115.36,154.38,-317.78,128.64
EBBR,ENGM,1,18,-21.63,11.96,-37.84,-6.06,-0.06,0.05,-0.14,0.02,-144.34,115.89,-306.64,43.05
EBBR,ENGM,2,35,-14.41,8.67,-26.37,-1.94,-0.03,0.05,-0.1,0.03,-68.95,102.21,-216.99,50.7
EBBR,EPWA,0,89,-43.93,19.36,-69.12,-16.12,-0.08,0.07,-0.18,0.04,-151.12,140.65,-344.3,75.0
EBBR,EPWA,1,39,-50.35,17.06,-68.4,-20.15,-0.17,0.05,-0.23,-0.06,-370.54,124.18,-531.2,-141.16
EBBR,ESGG,0,28,-12.6,13.23,-40.54,1.46,-0.04,0.03,-0.09,0.01,-97.6,75.58,-189.58,11.83
EBBR,ESGG,1,33,-8.5,10.3,-28.9,4.32,-0.04,0.04,-0.1,0.01,-90.65,80.71,-212.82,19.18
EBBR,ESSB,0,71,-5.82,7.06,-23.0,2.2,-0.03,0.04,-0.11,0.02,-58.86,91.25,-241.7,53.2
EBBR,GCTS,0,35,-27.61,14.71,-42.73,-1.08,-0.06,0.09,-0.17,0.09,-146.54,215.2,-409.48,212.3
EBBR,GCTS,1,34,-18.76,12.64,-36.28,0.22,-0.1,0.08,-0.22,0.01,-245.87,198.39,-543.87,23.31
EBBR,GMMN,0,19,18.47,17.04,-2.23,40.77,0.1,0.1,-0.02,0.26,293.76,270.94,-41.61,652.29
EBBR,GMMN,1,50,2.75,15.42,-14.4,31.74,0.03,0.09,-0.07,0.19,108.72,291.19,-157.2,646.7
EBBR,GMMW,0,28,14.23,10.37,2.84,27.59,0.06,0.09,-0.07,0.21,156.3,231.76,-163.34,520.88
EBBR,GMMW,1,23,17.28,14.45,3.52,29.38,0.09,0.08,-0.01,0.19,237.38,202.49,-23.67,463.82
EBBR,GMTT,0,40,-2.24,25.37,-34.98,40.7,0.05,0.1,-0.1,0.19,138.16,262.81,-276.47,520.89
EBBR,GMTT,1,22,-8.9,18.92,-30.64,25.5,0.03,0.12,-0.12,0.26,85.92,306.55,-295.33,654.46
EBBR,KJFK,0,24,0.83,4.42,-4.56,7.59,0.08,0.09,-0.07,0.24,466.8,550.65,-398.76,1467.26
EBBR,KJFK,1,23,-0.53,4.82,-7.1,5.24,-0.02,0.04,-0.09,0.04,-95.48,253.08,-505.02,208.83
EBBR,KJFK,2,10,2.14,6.14,-6.28,9.48,0.05,0.03,0.01,0.09,294.49,174.9,88.87,560.33
EBBR,LEAL,0,51,-3.0,8.01,-12.95,10.55,0.03,0.06,-0.07,0.1,73.25,149.04,-180.9,258.7
EBBR,LEAL,1,72,-1.83,7.67,-14.24,12.19,0.04,0.08,-0.08,0.16,95.28,181.62,-185.58,401.22
EBBR,LEBL,0,39,-10.61,14.73,-27.91,17.44,-0.06,0.09,-0.19,0.06,-250.19,337.13,-764.42,169.98
EBBR,LEBL,1,61,-1.52,12.67,-15.5,15.0,-0.03,0.07,-0.12,0.09,-62.82,166.85,-298.7,211.3
EBBR,LEBL,2,26,-9.04,25.51,-37.12,18.32,-0.04,0.1,-0.15,0.11,-90.62,241.61,-348.38,263.23
EBBR,LEBL,3,15,-4.92,14.37,-24.01,18.93,-0.02,0.06,-0.11,0.05,-56.34,158.0,-287.29,125.13
EBBR,LEBL,4,70,-4.12,8.97,-13.36,12.86,-0.05,0.07,-0.13,0.09,-123.87,190.2,-328.64,221.92
EBBR,LEMD,0,201,-3.31,19.72,-35.2,27.1,0.02,0.1,-0.12,0.18,51.24,239.75,-293.3,440.0
EBBR,LEMD,1,96,-2.78,17.54,-28.55,18.42,-0.01,0.09,-0.13,0.1,-31.84,220.1,-333.3,312.52
EBBR,LEMG,0,83,0.27,14.12,-17.79,30.28,0.06,0.08,-0.06,0.22,144.8,200.66,-143.06,526.95
EBBR,LEMG,1,29,-4.29,8.7,-15.34,11.58,0.02,0.08,-0.1,0.15,43.99,210.66,-262.36,374.86
EBBR,LEMG,2,36,-1.6,11.25,-14.32,20.52,0.05,0.09,-0.08,0.18,111.87,215.07,-204.52,455.33
