ADEP,ADES,cluster_kmeans,n,delta_dist_nm_pooled_mean,delta_dist_nm_pooled_std,delta_dist_nm_pooled_p5,delta_dist_nm_pooled_p95,delta_duration_h_pooled_mean,delta_duration_h_pooled_std,delta_duration_h_pooled_p5,delta_duration_h_pooled_p95
EGNV,EHAM,1,28,-13.4,16.07,-35.57,8.31,0.01,0.07,-0.1,0.12
EGNV,EHAM,2,18,32.85,14.85,4.96,48.08,0.11,0.05,0.04,0.21
EGNX,EDDK,0,102,-28.4,22.15,-61.09,10.45,0.01,0.12,-0.13,0.22
EGNX,EDDP,0,113,-40.16,19.37,-68.98,-17.92,-0.04,0.07,-0.15,0.05
EGNX,EDDP,1,59,-54.27,23.48,-91.79,-25.77,-0.11,0.07,-0.22,-0.0
EGNX,EDDP,2,15,-139.57,22.84,-175.51,-114.94,-0.32,0.09,-0.4,-0.16
EGNX,EGAA,0,153,5.03,7.02,-0.74,20.3,0.1,0.15,-0.03,0.36
EGNX,EGJB,0,64,7.89,6.94,-2.27,18.57,-0.03,0.09,-0.13,0.1
EGNX,EGPH,0,59,12.71,4.74,3.37,19.34,0.06,0.04,0.01,0.13
EGNX,EGPH,1,37,20.12,33.75,8.76,27.4,0.12,0.18,0.03,0.21
EGNX,EIDW,0,34,-16.4,11.82,-30.58,7.37,-0.07,0.06,-0.14,0.03
EGNX,EIDW,1,43,-16.19,14.6,-32.15,5.68,-0.07,0.09,-0.17,0.13
EGNX,GCTS,0,26,-27.76,69.1,-90.55,79.22,-0.04,0.22,-0.4,0.25
EGNX,GCTS,1,35,-27.17,8.76,-38.94,-10.97,-0.06,0.21,-0.4,0.25
EGNX,GCTS,2,7,-26.3,28.51,-39.78,16.56,-0.12,0.26,-0.39,0.25
EGNX,LEAL,0,100,3.99,12.66,-10.22,28.62,0.08,0.12,-0.12,0.25
EGNX,LEMG,0,46,-0.72,13.38,-11.72,30.42,0.09,0.13,-0.11,0.3
EGNX,LEMG,1,44,7.65,23.32,-6.98,41.12,0.12,0.16,-0.17,0.37
EGNX,LEPA,0,15,-2.94,10.57,-13.81,17.38,0.07,0.12,-0.11,0.23
EGNX,LEPA,1,60,5.88,9.28,-4.2,26.75,0.01,0.14,-0.24,0.25
EGNX,LEPA,2,47,-3.54,9.09,-16.08,9.02,-0.0,0.08,-0.14,0.12
EGNX,LFPG,0,37,-5.31,16.39,-27.34,16.18,-0.05,0.06,-0.15,0.05
EGNX,LFPG,1,17,-8.19,15.48,-26.36,12.7,0.05,0.07,-0.03,0.16
EGNX,LPFR,0,39,1.79,8.3,-7.27,17.16,0.05,0.12,-0.17,0.24
EGNX,LPFR,1,55,1.14,6.84,-7.07,13.87,0.04,0.12,-0.14,0.2
EGPA,EGPD,0,76,5.62,9.54,-3.02,24.95,0.09,0.05,0.02,0.17
EGPA,EGPE,0,55,-4.8,7.74,-12.9,9.8,0.03,0.05,-0.05,0.12
EGPB,EGPD,0,322,4.5,6.11,-2.4,17.77,0.01,0.05,-0.06,0.11
EGPD,EGBB,0,78,9.93,13.01,-8.77,29.06,0.05,0.1,-0.07,0.26
EGPD,EGCC,0,75,-16.25,12.63,-32.05,4.84,-0.07,0.07,-0.17,0.04
EGPD,EGCC,1,20,13.2,8.3,2.62,27.36,0.06,0.06,-0.04,0.14
EGPD,EGKK,0,60,12.21,12.06,-6.79,29.22,0.16,0.15,-0.02,0.42
EGPD,EGLL,0,148,20.47,13.52,5.34,48.3,0.17,0.12,0.01,0.39
EGPD,EGPA,0,76,3.89,5.47,-3.6,13.8,0.08,0.04,0.03,0.15
EGPD,EGPB,0,324,11.66,7.03,1.42,20.91,0.06,0.07,-0.02,0.14
EGPD,EHAM,0,74,-2.56,7.93,-17.39,8.31,0.09,0.07,-0.03,0.19
EGPD,EHAM,1,20,4.78,8.18,-12.89,14.2,0.07,0.04,0.01,0.13
EGPD,EHAM,2,45,-5.77,13.09,-29.26,19.1,0.04,0.06,-0.03,0.14
EGPD,EIDW,0,30,-12.84,10.41,-23.76,8.27,-0.05,0.08,-0.15,0.09
EGPD,EIDW,1,15,-11.78,10.28,-24.93,7.02,-0.04,0.11,-0.2,0.1
EGPD,EIDW,2,15,3.37,13.9,-9.84,33.25,0.01,0.11,-0.08,0.16
EGPD,ENBR,0,53,-3.55,5.22,-13.32,3.54,-0.06,0.05,-0.13,0.02
EGPD,ENZV,0,46,-2.2,3.3,-8.6,2.0,0.05,0.03,0.01,0.1
EGPD,ENZV,1,41,2.3,3.83,-3.6,8.0,-0.04,0.04,-0.1,0.02
EGPE,EGGW,0,51,-23.77,10.5,-38.1,-4.2,-0.0,0.08,-0.1,0.16
EGPE,EGKK,0,77,16.02,11.15,-9.36,29.74,0.23,0.15,0.03,0.5
EGPE,EGLL,0,57,25.83,11.06,14.84,50.28,0.18,0.12,0.03,0.34
EGPE,EGPA,0,56,-7.13,5.37,-13.6,1.12,0.02,0.05,-0.05,0.11
EGPE,EGPO,0,71,6.12,7.07,-0.4,19.25,0.1,0.09,0.01,0.23
EGPE,EHAM,0,31,-1.97,10.84,-14.8,22.2,0.03,0.06,-0.05,0.11
EGPE,EHAM,1,33,-1.4,7.63,-13.28,10.72,0.02,0.07,-0.09,0.13
EGPF,EDDF,0,55,-51.26,13.51,-68.82,-24.91,-0.18,0.09,-0.32,-0.06
EGPF,EGAA,0,100,5.65,14.67,-4.53,31.93,0.03,0.06,-0.05,0.14
EGPF,EGAA,1,21,7.03,15.01,-4.5,32.0,0.03,0.06,-0.05,0.13
EGPF,EGAC,0,76,1.05,13.23,-8.4,25.62,0.03,0.08,-0.11,0.14
EGPF,EGBB,0,71,-0.5,10.26,-13.05,16.55,-0.01,0.06,-0.11,0.1
EGPF,EGGD,0,86,4.33,5.8,-2.95,12.08,0.04,0.06,-0.04,0.12
EGPF,EGGD,1,21,-4.44,5.24,-11.8,4.2,-0.01,0.05,-0.1,0.04
EGPF,EGGW,0,79,-34.78,11.21,-49.14,-20.69,-0.02,0.1,-0.12,0.11
EGPF,EGHI,0,100,-5.27,10.14,-14.7,15.54,0.05,0.07,-0.07,0.15
EGPF,EGKK,0,112,3.96,12.53,-20.01,18.71,0.22,0.15,0.02,0.5
EGPF,EGKK,1,35,-1.91,17.15,-36.47,24.0,0.17,0.13,-0.01,0.38
EGPF,EGKK,2,17,3.81,12.98,-17.7,21.2,0.1,0.15,-0.07,0.37
EGPF,EGLC,0,115,-39.16,18.24,-71.53,-10.11,-0.03,0.13,-0.17,0.13
EGPF,EGLL,0,135,11.2,13.34,-1.99,36.22,0.15,0.14,-0.03,0.39
EGPF,EGLL,1,83,4.72,12.17,-5.59,20.0,0.11,0.11,-0.03,0.3
EGPF,EGLL,2,19,15.66,7.54,8.16,29.67,0.14,0.09,0.03,0.31
EGPF,EGPO,0,80,2.21,8.39,-5.14,19.0,-0.04,0.06,-0.11,0.04
EGPF,EGSS,0,70,-8.32,9.99,-21.02,7.99,0.05,0.07,-0.05,0.15
EGPF,EGSS,1,15,-16.2,34.68,-42.1,24.79,0.07,0.19,-0.06,0.3
EGPF,EHAM,0,111,-11.69,10.94,-25.35,8.9,0.04,0.07,-0.09,0.15
EGPF,EHAM,1,20,-13.04,10.33,-27.38,2.48,0.08,0.05,0.02,0.14
EGPF,EIDW,0,217,-15.83,12.52,-28.52,10.34,-0.03,0.14,-0.21,0.18
EGPF,GCTS,0,29,-26.87,12.15,-48.38,-7.9,-0.03,0.24,-0.5,0.25
EGPF,GCTS,1,22,-21.57,12.72,-34.98,0.25,-0.03,0.24,-0.34,0.29
EGPF,LEAL,0,23,-16.87,20.62,-38.38,12.65,0.02,0.12,-0.16,0.2
EGPF,LEAL,1,48,-0.95,8.55,-14.92,13.14,0.03,0.13,-0.15,0.18
EGPF,LEMG,0,32,-5.37,14.49,-17.39,28.51,0.1,0.19,-0.23,0.39
EGPF,LEMG,1,17,0.79,35.54,-44.66,42.94,0.13,0.16,-0.14,0.32
EGPF,LEMG,2,18,-9.66,14.29,-23.54,8.51,0.06,0.12,-0.11,0.23
EGPF,LEPA,0,25,-10.55,13.32,-28.42,12.9,-0.02,0.14,-0.26,0.15
EGPF,LEPA,1,19,-5.27,27.46,-32.82,37.14,-0.01,0.17,-0.26,0.22
EGPF,LEPA,2,19,1.61,10.64,-9.82,21.48,-0.01,0.17,-0.27,0.24
EGPF,LFPG,0,53,-9.39,17.04,-30.24,17.94,-0.02,0.07,-0.12,0.11
EGPH,EDDF,0,42,-46.65,15.53,-62.76,-17.28,-0.16,0.07,-0.25,-0.03
EGPH,EDDF,1,35,-50.03,10.14,-61.02,-33.97,-0.17,0.07,-0.27,-0.05
EGPH,EGAA,0,106,6.12,13.31,-6.3,30.42,0.01,0.05,-0.05,0.1
EGPH,EGAA,1,60,7.84,14.88,-6.4,31.47,0.01,0.05,-0.07,0.11
EGPH,EGAC,0,57,-17.63,18.39,-33.1,14.26,-0.05,0.08,-0.14,0.09
EGPH,EGAC,1,43,-16.67,18.47,-33.78,18.17,-0.04,0.07,-0.13,0.08
EGPH,EGBB,0,58,-2.28,13.0,-24.1,19.47,-0.04,0.06,-0.13,0.06
EGPH,EGGD,0,122,0.41,10.32,-13.5,17.83,0.02,0.07,-0.07,0.14
EGPH,EGGW,0,66,-34.31,13.88,-54.82,-9.88,-0.03,0.1,-0.13,0.13
EGPH,EGGW,1,33,-35.15,14.96,-54.96,-8.6,-0.04,0.08,-0.15,0.11
EGPH,EGHI,0,123,-5.43,13.9,-25.17,21.1,0.02,0.08,-0.12,0.14
EGPH,EGKK,0,32,1.43,16.25,-29.71,22.48,0.11,0.13,-0.05,0.32
EGPH,EGKK,1,102,-1.57,18.45,-36.08,23.67,0.15,0.15,-0.06,0.44
EGPH,EGLC,0,24,-21.28,17.35,-47.46,0.4,0.0,0.11,-0.11,0.13
EGPH,EGLC,1,180,-34.0,19.17,-72.8,-7.69,-0.03,0.08,-0.16,0.11
EGPH,EGLL,0,286,13.13,14.93,-8.4,40.08,0.14,0.11,-0.01,0.35
EGPH,EGLL,1,25,13.43,17.64,-9.04,40.74,0.18,0.14,0.01,0.36
EGPH,EGNX,0,85,-14.03,13.16,-32.16,3.9,0.06,0.06,-0.03,0.17
EGPH,EGSS,0,218,-13.52,14.18,-35.4,10.74,0.03,0.08,-0.09,0.16
EGPH,EHAM,0,179,-0.87,7.65,-11.21,11.92,0.06,0.06,-0.04,0.15
EGPH,EIDW,0,93,-29.08,17.14,-49.08,0.56,-0.1,0.18,-0.4,0.08
EGPH,EIDW,1,201,-20.79,13.21,-35.5,3.3,-0.05,0.15,-0.22,0.24
EGPH,EKCH,0,73,-25.14,14.73,-46.3,-1.38,-0.08,0.08,-0.19,0.04
EGPH,GCTS,0,77,-24.57,23.81,-48.6,23.82,-0.07,0.25,-0.54,0.29
EGPH,KEWR,0,19,4.87,68.01,-67.26,108.46,0.09,0.19,-0.18,0.35
EGPH,KEWR,1,22,-1.4,29.28,-35.48,49.61,0.15,0.26,-0.22,0.57
EGPH,KEWR,2,18,-2.96,69.89,-68.92,136.25,0.17,0.23,-0.21,0.53
EGPH,LEAL,0,62,-2.77,16.63,-24.16,26.8,0.03,0.16,-0.23,0.22
EGPH,LEBL,0,54,-10.26,17.56,-32.97,22.68,-0.06,0.14,-0.33,0.13
EGPH,LEMD,0,42,-15.75,22.82,-56.82,12.63,0.01,0.15,-0.28,0.23
EGPH,LEMD,1,9,-12.39,25.59,-33.96,27.42,-0.0,0.17,-0.23,0.24
EGPH,LEPA,0,32,-17.32,16.61,-42.55,-3.3,-0.03,0.12,-0.23,0.12
EGPH,LEPA,1,57,-4.35,13.04,-21.86,13.6,-0.02,0.16,-0.36,0.16
EGPH,LFPG,0,143,-10.79,18.78,-38.89,22.03,-0.03,0.08,-0.14,0.13
EGPH,LFPG,1,16,24.42,17.42,2.58,51.97,0.01,0.26,-0.33,0.3
EGPH,LPFR,0,28,-6.54,14.75,-31.0,8.16,0.02,0.15,-0.18,0.18
EGPH,LPFR,1,32,3.56,8.48,-7.72,17.49,0.02,0.15,-0.26,0.21
EGPH,OTHH,0,37,26.89,24.97,-4.72,77.26,0.12,0.14,-0.15,0.33
EGPH,OTHH,1,23,17.23,18.75,-9.67,43.71,0.12,0.13,-0.1,0.31
EGPO,EGPE,0,72,6.36,4.86,-0.4,13.66,0.07,0.05,0.01,0.14
EGPO,EGPF,0,80,9.49,6.39,2.79,21.5,0.01,0.07,-0.06,0.12
EGSH,EHAM,0,66,1.43,9.29,-17.0,9.75,0.02,0.04,-0.04,0.1
EGSH,EHAM,1,32,7.51,5.59,-2.89,17.71,0.06,0.06,-0.02,0.14
EGSS,EDDB,0,56,14.47,12.54,-5.12,30.82,0.05,0.07,-0.07,0.16
EGSS,EDDB,1,34,17.71,11.79,-1.2,31.73,0.06,0.05,-0.01,0.14
EGSS,EDDH,0,56,-32.49,14.5,-60.05,-5.05,-0.12,0.06,-0.21,-0.02
EGSS,EDDK,0,100,-22.19,14.39,-39.01,3.29,-0.04,0.08,-0.13,0.06
EGSS,EGAA,0,199,-2.76,8.52,-12.53,14.21,0.02,0.05,-0.05,0.1
EGSS,EGPF,0,55,1.05,6.37,-6.22,10.89,0.04,0.04,-0.03,0.1
EGSS,EGPF,1,29,-1.9,5.16,-7.92,6.58,0.02,0.05,-0.04,0.09
EGSS,EGPH,0,89,2.04,5.72,-8.12,10.9,0.04,0.07,-0.04,0.14
EGSS,EGPH,1,57,2.15,6.83,-8.02,13.12,0.03,0.05,-0.04,0.11
EGSS,EGPH,2,71,2.69,6.84,-7.75,16.35,0.06,0.06,-0.03,0.15
EGSS,EHAM,0,60,8.07,4.41,3.8,15.49,0.01,0.04,-0.06,0.08
EGSS,EHEH,0,90,4.3,5.45,-2.0,10.78,-0.08,0.06,-0.14,-0.04
EGSS,EICK,0,85,0.06,9.6,-11.84,8.42,0.06,0.12,-0.05,0.18
EGSS,EIDW,0,263,-19.89,18.62,-43.67,13.98,-0.04,0.1,-0.16,0.11
EGSS,EINN,0,73,-3.26,11.04,-15.0,18.72,0.03,0.08,-0.06,0.13
EGSS,EKBI,0,17,9.09,14.26,-5.6,39.5,0.04,0.07,-0.03,0.15
EGSS,EKBI,1,54,5.58,12.31,-10.27,24.94,0.03,0.06,-0.05,0.11
EGSS,EKBI,2,18,2.83,10.92,-8.93,20.6,0.01,0.04,-0.06,0.06
EGSS,EKCH,0,90,-6.59,9.93,-27.9,7.51,-0.07,0.05,-0.14,0.01
EGSS,ENGM,0,51,-12.91,17.46,-37.95,7.3,-0.02,0.1,-0.12,0.14
EGSS,EPGD,0,43,-36.6,13.23,-56.5,-15.04,-0.09,0.06,-0.18,0.04
EGSS,EPGD,1,17,-47.74,21.69,-73.2,-17.98,-0.18,0.06,-0.26,-0.12
EGSS,EPKK,0,81,-27.65,14.13,-45.5,1.4,-0.05,0.07,-0.15,0.05
EGSS,EPMO,0,49,-16.52,10.52,-25.62,5.92,-0.04,0.05,-0.14,0.04
EGSS,EPMO,1,26,-16.95,11.44,-25.95,8.1,-0.07,0.05,-0.16,0.02
EGSS,GCRR,0,68,-22.95,10.12,-33.86,-7.1,-0.03,0.19,-0.34,0.25
EGSS,GCTS,0,97,-28.29,12.01,-42.0,-7.02,-0.05,0.19,-0.39,0.24
EGSS,GCTS,1,16,-36.29,13.28,-57.08,-18.8,-0.06,0.26,-0.51,0.26
EGSS,LBSF,0,20,-6.03,9.36,-22.03,5.71,-0.04,0.08,-0.14,0.07
EGSS,LBSF,1,30,-36.39,17.39,-58.68,-4.26,-0.09,0.1,-0.25,0.02
EGSS,LBSF,2,23,-34.7,13.02,-49.2,-13.68,-0.09,0.08,-0.21,-0.01
EGSS,LCPH,0,30,12.62,33.16,-15.76,80.45,-0.03,0.1,-0.19,0.13
EGSS,LCPH,1,30,12.83,10.23,-2.98,28.66,-0.05,0.11,-0.21,0.11
EGSS,LEAL,0,94,-10.76,12.31,-26.15,11.33,0.06,0.12,-0.13,0.24
EGSS,LEAL,1,39,-12.07,12.65,-28.74,10.9,-0.01,0.11,-0.19,0.14
EGSS,LEBL,0,120,-20.97,18.56,-44.56,3.81,-0.07,0.13,-0.26,0.1
EGSS,LEGE,0,61,-13.23,15.48,-29.8,23.5,-0.01,0.1,-0.14,0.15
EGSS,LEIB,0,102,-35.56,24.43,-68.44,6.66,-0.1,0.12,-0.3,0.05
EGSS,LEMD,0,69,-16.15,16.73,-49.76,4.22,0.01,0.12,-0.19,0.18
EGSS,LEMD,1,21,2.88,21.35,-14.7,41.1,0.1,0.1,-0.06,0.22
EGSS,LEMG,0,98,-4.55,12.23,-15.81,22.19,0.08,0.14,-0.15,0.27
EGSS,LEPA,0,169,-16.28,18.28,-38.46,15.74,-0.02,0.12,-0.22,0.16
EGSS,LFML,0,52,-11.29,18.66,-36.25,15.6,0.0,0.08,-0.13,0.12
EGSS,LFML,1,15,-14.58,14.39,-37.69,7.61,-0.02,0.11,-0.21,0.14
EGSS,LGKR,0,29,3.49,26.81,-30.46,64.58,-0.02,0.12,-0.24,0.16
EGSS,LGKR,1,25,5.83,14.74,-16.38,23.5,-0.04,0.12,-0.23,0.12
EGSS,LGRP,0,35,7.75,11.47,-6.62,28.76,-0.05,0.09,-0.2,0.1
EGSS,LGRP,1,28,2.84,9.8,-12.9,21.0,-0.01,0.09,-0.13,0.14
EGSS,LHBP,0,65,-14.48,13.64,-31.1,7.52,-0.01,0.08,-0.13,0.1
EGSS,LHBP,1,54,-13.59,14.89,-33.42,11.64,-0.0,0.06,-0.09,0.08
EGSS,LIMC,0,36,-63.8,27.77,-97.82,-8.77,-0.18,0.11,-0.32,-0.01
EGSS,LIMC,1,80,-48.19,20.6,-71.34,-6.23,-0.22,0.13,-0.4,-0.04
EGSS,LIME,0,61,-44.49,23.04,-65.0,-18.9,-0.11,0.09,-0.25,-0.01
EGSS,LIME,1,17,-56.77,22.3,-79.56,-13.74,-0.12,0.11,-0.22,0.12
EGSS,LIME,2,20,-44.4,21.33,-69.62,-7.53,-0.1,0.08,-0.2,0.01
EGSS,LIME,3,19,-42.8,19.67,-64.46,-11.96,-0.06,0.1,-0.16,0.17
EGSS,LIPE,0,37,-13.4,11.77,-28.82,5.62,-0.06,0.09,-0.23,0.07
EGSS,LIPE,1,15,-9.03,43.0,-41.69,78.33,-0.02,0.15,-0.2,0.27
EGSS,LIPZ,0,61,-35.84,16.14,-54.5,-5.3,-0.15,0.08,-0.29,-0.02
EGSS,LIPZ,1,24,-32.39,18.24,-52.6,-2.33,-0.15,0.07,-0.25,-0.04
EGSS,LIRA,0,90,-7.41,12.55,-21.7,20.96,-0.02,0.09,-0.17,0.12
EGSS,LIRA,1,22,-7.56,15.18,-26.78,22.87,-0.01,0.09,-0.13,0.08
EGSS,LIRA,2,17,-5.26,15.7,-27.5,18.76,0.01,0.11,-0.14,0.16
EGSS,LIRN,0,35,-31.03,17.44,-54.63,-4.21,-0.08,0.12,-0.29,0.12
EGSS,LIRN,1,19,-22.38,46.09,-68.54,69.54,-0.03,0.18,-0.25,0.31
EGSS,LIRP,0,40,9.48,13.98,-9.94,26.23,-0.01,0.09,-0.17,0.1
EGSS,LIRP,1,27,-21.41,18.68,-56.73,0.89,-0.06,0.08,-0.18,0.08
EGSS,LIRP,2,30,10.45,12.62,-9.23,30.29,0.0,0.09,-0.14,0.12
EGSS,LKPR,0,17,-15.54,14.84,-29.18,4.1,-0.03,0.08,-0.13,0.11
EGSS,LKPR,1,27,-17.17,15.77,-38.63,8.16,-0.05,0.05,-0.11,0.04
EGSS,LKPR,2,30,-18.56,9.0,-32.62,-2.66,-0.06,0.04,-0.13,-0.02
EGSS,LOWW,0,15,2.83,14.04,-9.81,29.98,0.01,0.07,-0.08,0.11
EGSS,LOWW,1,43,9.62,16.96,-11.9,39.71,0.03,0.08,-0.09,0.17
EGSS,LPFR,0,130,-6.26,15.43,-18.06,9.56,0.03,0.12,-0.17,0.2
EGSS,LPPR,0,56,-12.55,11.44,-28.32,7.5,0.02,0.11,-0.15,0.18
EGSS,LPPR,1,29,-7.59,15.96,-23.28,21.32,0.05,0.1,-0.09,0.16
EGSS,LPPT,0,42,-11.79,25.17,-43.77,17.61,0.07,0.14,-0.17,0.31
EGSS,LPPT,1,36,-6.74,20.19,-25.62,31.83,0.11,0.12,-0.11,0.28
EGSS,LPPT,2,29,-13.87,14.21,-38.72,1.56,0.04,0.09,-0.1,0.16
EGSS,LROP,0,65,-36.75,10.79,-48.74,-15.62,-0.06,0.09,-0.23,0.05
EGSS,LROP,1,36,-36.2,19.15,-54.45,3.8,-0.06,0.09,-0.2,0.07
EGSS,LTAI,0,84,1.65,17.42,-23.96,35.48,0.0,0.14,-0.21,0.25
EGSS,LTAI,1,36,-3.87,13.8,-32.12,12.18,0.04,0.12,-0.15,0.25
EGSS,LTBS,0,25,1.14,22.08,-36.42,27.12,-0.02,0.11,-0.19,0.12
EGSS,LTBS,1,37,8.94,14.73,-15.16,26.76,-0.01,0.11,-0.17,0.17
EGSS,LTFJ,0,19,-12.97,33.14,-54.65,32.8,0.03,0.16,-0.16,0.27
EGSS,LTFJ,1,50,-15.81,22.09,-46.98,16.52,0.02,0.2,-0.21,0.37
EGSS,LTFJ,2,82,-14.45,21.53,-41.16,12.24,0.01,0.15,-0.2,0.26
EGSS,LTFJ,3,20,1.04,30.8,-39.88,52.92,0.08,0.15,-0.17,0.32
EGSS,LTFJ,4,36,-14.79,18.41,-38.9,13.2,0.01,0.13,-0.18,0.23
EGSS,OMDB,0,41,19.95,18.51,-12.1,43.4,0.18,0.13,-0.02,0.45
EGSS,OMDB,1,19,15.36,24.12,-12.71,54.57,0.19,0.18,-0.02,0.49
EHAM,BIKF,0,11,11.19,23.3,-16.75,47.8,0.08,0.11,-0.08,0.22
EHAM,BIKF,1,85,-5.06,21.9,-36.04,26.68,0.04,0.12,-0.15,0.22
EHAM,CYUL,0,18,-8.39,19.93,-30.22,26.08,-0.0,0.28,-0.32,0.48
EHAM,CYUL,1,17,-9.54,61.48,-85.78,67.48,0.01,0.31,-0.43,0.56
EHAM,CYUL,2,16,-7.38,84.96,-70.6,100.22,-0.0,0.3,-0.32,0.62
EHAM,CYYZ,0,21,-1.34,61.79,-61.8,94.6,0.02,0.42,-0.44,0.78
EHAM,CYYZ,1,16,-6.0,51.32,-36.65,102.28,0.01,0.3,-0.33,0.5
EHAM,CYYZ,2,34,-6.61,20.09,-35.98,24.56,0.02,0.35,-0.41,0.53
EHAM,CYYZ,3,20,-14.18,48.31,-72.79,70.48,-0.02,0.26,-0.37,0.36
EHAM,CYYZ,4,9,-5.18,9.4,-18.34,5.36,0.01,0.29,-0.29,0.4
EHAM,EBBR,0,116,5.43,7.72,-3.3,23.95,0.01,0.04,-0.03,0.08
EHAM,EDDB,0,101,4.65,14.53,-17.0,26.7,0.04,0.06,-0.04,0.14
EHAM,EDDB,1,186,10.73,13.68,-8.55,30.85,0.04,0.06,-0.04,0.13
EHAM,EDDF,0,35,-36.5,9.96,-48.13,-21.16,-0.19,0.05,-0.25,-0.12
EHAM,EDDF,1,67,-36.42,8.0,-46.8,-25.15,-0.22,0.05,-0.3,-0.13
EHAM,EDDF,2,193,-36.41,9.47,-49.12,-22.3,-0.19,0.05,-0.27,-0.11
EHAM,EDDF,3,69,-34.47,10.05,-45.6,-17.36,-0.19,0.05,-0.25,-0.13
EHAM,EDDH,0,106,-33.57,15.58,-59.4,-6.35,-0.19,0.05,-0.27,-0.12
EHAM,EDDH,1,47,-30.97,18.38,-60.91,-2.17,-0.21,0.05,-0.29,-0.14
EHAM,EDDH,2,35,-39.59,17.04,-66.89,-2.24,-0.19,0.06,-0.27,-0.09
EHAM,EDDL,0,143,-10.47,8.57,-22.83,5.67,-0.03,0.04,-0.08,0.05
EHAM,EDDM,0,45,6.11,25.85,-20.22,52.04,-0.06,0.08,-0.15,0.09
EHAM,EDDM,1,30,9.33,11.16,-5.86,29.78,-0.04,0.06,-0.13,0.08
EHAM,EDDM,2,43,9.64,13.53,-5.58,32.25,-0.02,0.07,-0.1,0.09
EHAM,EDDM,3,182,6.78,11.98,-5.48,29.49,-0.05,0.06,-0.12,0.06
EHAM,EDDM,4,21,5.05,15.29,-9.7,29.7,-0.13,0.09,-0.22,0.07
EHAM,EDDN,0,100,-42.97,19.49,-62.51,-5.56,-0.13,0.05,-0.22,-0.03
EHAM,EDDP,0,55,-53.47,22.92,-87.28,-25.82,-0.15,0.08,-0.25,-0.03
EHAM,EDDS,0,143,-19.38,6.68,-27.79,-5.03,-0.06,0.06,-0.13,0.03
EHAM,EDDS,1,17,-29.52,15.47,-46.62,0.88,-0.06,0.09,-0.16,0.09
EHAM,EDDV,0,105,-4.56,16.48,-20.58,26.5,-0.06,0.05,-0.14,0.02
EHAM,EDDW,0,98,-17.75,14.68,-37.22,6.75,-0.07,0.05,-0.13,0.01
EHAM,EFHK,0,24,-0.27,9.11,-14.23,11.79,0.03,0.08,-0.11,0.17
EHAM,EFHK,1,129,0.76,10.27,-17.42,14.54,0.04,0.08,-0.08,0.15
EHAM,EGBB,0,151,-5.73,12.68,-25.0,12.9,0.0,0.14,-0.1,0.1
EHAM,EGBB,1,36,-24.06,15.33,-48.22,-1.5,-0.08,0.08,-0.19,0.07
EHAM,EGCC,0,140,-25.29,19.22,-44.2,10.05,-0.05,0.08,-0.16,0.1
EHAM,EGCC,1,183,-21.28,19.61,-44.2,11.01,-0.06,0.09,-0.19,0.1
EHAM,EGFF,0,68,8.0,14.78,-4.4,37.88,0.05,0.06,-0.02,0.17
EHAM,EGFF,1,21,10.23,10.14,-2.9,23.6,0.02,0.05,-0.04,0.08
EHAM,EGGD,0,191,8.55,13.99,-3.5,33.65,0.05,0.07,-0.05,0.14
EHAM,EGGD,1,21,8.58,15.34,-3.7,41.6,0.02,0.04,-0.02,0.09
EHAM,EGGW,0,177,-10.69,12.77,-26.4,9.9,-0.02,0.06,-0.1,0.07
EHAM,EGHI,0,61,5.37,13.43,-6.1,33.8,0.02,0.1,-0.09,0.08
EHAM,EGKK,0,224,10.15,13.65,-8.68,32.66,0.1,0.13,-0.06,0.33
EHAM,EGLC,0,327,2.34,6.3,-4.9,13.47,-0.01,0.06,-0.08,0.08
EHAM,EGLL,0,461,8.28,14.25,-3.1,32.6,0.18,0.11,0.03,0.37
EHAM,EGNJ,0,51,5.25,22.35,-9.2,63.15,0.01,0.09,-0.08,0.23
EHAM,EGNJ,1,25,3.49,18.86,-10.48,53.06,-0.02,0.08,-0.1,0.13
EHAM,EGNM,0,36,-1.35,12.74,-13.52,23.12,-0.02,0.09,-0.12,0.17
EHAM,EGNM,1,69,-2.9,10.05,-14.08,12.52,-0.02,0.05,-0.08,0.08
EHAM,EGNT,0,117,-3.13,12.91,-31.88,11.66,0.01,0.06,-0.08,0.11
EHAM,EGNV,0,44,8.34,17.19,-13.65,41.8,0.02,0.06,-0.06,0.12
EHAM,EGNV,1,27,-17.69,16.43,-38.89,6.45,-0.01,0.07,-0.1,0.12
EHAM,EGPD,0,63,-13.6,19.35,-45.07,16.76,0.01,0.06,-0.08,0.11
EHAM,EGPD,1,76,-5.33,20.53,-25.75,10.28,0.02,0.07,-0.08,0.12
EHAM,EGPE,0,44,-8.83,22.77,-28.82,40.38,-0.01,0.07,-0.11,0.09
EHAM,EGPE,1,20,-41.08,23.54,-68.24,-1.12,-0.1,0.05,-0.19,-0.03
EHAM,EGPF,0,29,2.18,16.73,-17.76,26.24,0.02,0.05,-0.04,0.12
EHAM,EGPF,1,102,0.86,9.39,-11.3,15.58,0.05,0.06,-0.04,0.16
EHAM,EGPH,0,179,2.8,12.26,-10.21,21.64,0.04,0.07,-0.05,0.17
EHAM,EGSH,0,62,-6.13,12.31,-24.26,13.97,-0.03,0.05,-0.1,0.03
