ADEP,ADES,cluster_kmeans,n,delta_dist_nm_pooled_mean,delta_dist_nm_pooled_std,delta_dist_nm_pooled_p5,delta_dist_nm_pooled_p95,delta_duration_h_pooled_mean,delta_duration_h_pooled_std,delta_duration_h_pooled_p5,delta_duration_h_pooled_p95
EDDG,LEPA,1,53,-18.5,26.1,-50.34,26.1,-0.02,0.13,-0.21,0.16
EDDG,LTAI,0,64,-9.32,13.74,-30.16,16.5,0.05,0.11,-0.12,0.26
EDDG,LTAI,1,22,-1.88,25.28,-28.93,28.12,0.04,0.12,-0.15,0.2
EDDH,EBBR,0,62,-9.47,13.8,-30.89,14.73,0.01,0.06,-0.1,0.11
EDDH,EDDF,0,277,-38.61,27.62,-77.86,1.5,-0.18,0.07,-0.28,-0.07
EDDH,EDDF,1,66,-43.46,22.95,-74.5,-11.42,-0.22,0.07,-0.32,-0.09
EDDH,EDDK,0,53,-1.47,11.79,-20.7,19.9,-0.01,0.06,-0.1,0.07
EDDH,EDDL,0,85,2.96,18.95,-12.78,24.26,0.02,0.06,-0.07,0.1
EDDH,EDDM,0,387,-18.65,9.97,-31.31,-0.38,-0.09,0.06,-0.18,0.01
EDDH,EDDS,0,148,-3.6,10.66,-18.42,15.64,0.03,0.05,-0.05,0.11
EDDH,EFHK,0,19,3.93,8.77,-12.83,13.53,0.08,0.08,-0.02,0.2
EDDH,EFHK,1,37,2.42,10.68,-15.74,15.1,0.06,0.08,-0.06,0.17
EDDH,EGLL,0,178,8.94,15.15,-5.3,36.99,0.21,0.12,0.05,0.41
EDDH,EGSS,0,56,3.75,13.47,-9.18,33.88,0.08,0.07,-0.02,0.2
EDDH,EHAM,0,189,6.59,8.57,-5.86,22.0,0.04,0.05,-0.03,0.13
EDDH,EIDW,0,60,-16.76,18.17,-39.12,18.64,-0.03,0.11,-0.19,0.17
EDDH,EKCH,0,35,-4.87,9.11,-21.34,3.56,-0.03,0.11,-0.16,0.13
EDDH,EKCH,1,100,5.9,14.17,-23.3,18.32,0.02,0.08,-0.16,0.13
EDDH,EPWA,0,63,-47.66,22.26,-81.84,-6.25,-0.08,0.07,-0.17,0.03
EDDH,ESSA,0,19,-5.94,14.04,-28.6,10.48,0.05,0.06,-0.03,0.15
EDDH,ESSA,1,32,-4.55,14.34,-27.66,18.6,0.02,0.07,-0.08,0.1
EDDH,LEBL,0,55,-8.76,23.46,-43.78,31.67,-0.03,0.13,-0.24,0.17
EDDH,LEBL,1,27,-4.14,19.63,-29.25,24.52,-0.01,0.14,-0.2,0.15
EDDH,LEMD,0,16,-8.97,18.51,-38.85,11.25,-0.04,0.09,-0.15,0.12
EDDH,LEMD,1,38,-5.61,20.73,-34.55,22.58,-0.02,0.12,-0.2,0.11
EDDH,LEPA,0,55,-10.28,18.3,-37.74,18.6,0.06,0.08,-0.06,0.16
EDDH,LEPA,1,138,-5.95,18.47,-27.64,26.34,-0.0,0.14,-0.22,0.24
EDDH,LEPA,2,67,-4.54,17.55,-27.43,30.65,0.02,0.17,-0.21,0.31
EDDH,LEPA,3,20,-5.1,26.09,-36.94,46.92,0.06,0.07,-0.06,0.16
EDDH,LEPA,4,28,-13.64,26.49,-57.66,16.5,-0.01,0.13,-0.23,0.15
EDDH,LFPG,0,33,-7.02,15.1,-42.62,11.98,0.01,0.05,-0.06,0.11
EDDH,LFPG,1,16,-10.2,14.87,-30.3,6.6,0.05,0.06,-0.01,0.16
EDDH,LFPG,2,20,1.49,15.97,-17.69,24.19,0.04,0.06,-0.06,0.12
EDDH,LFPG,3,30,-5.13,7.25,-18.81,6.63,0.04,0.07,-0.04,0.1
EDDH,LFPG,4,30,-4.59,13.86,-19.76,19.08,0.02,0.05,-0.05,0.08
EDDH,LFPG,5,16,0.14,18.29,-24.9,27.35,0.05,0.07,-0.06,0.13
EDDH,LGIR,0,47,-3.73,11.69,-15.08,20.2,0.0,0.11,-0.13,0.16
EDDH,LGIR,1,17,-15.77,10.09,-34.12,-2.86,-0.02,0.11,-0.16,0.17
EDDH,LOWW,0,36,-4.38,16.19,-27.3,27.67,0.01,0.06,-0.09,0.1
EDDH,LOWW,1,26,1.0,18.06,-18.98,30.08,-0.01,0.06,-0.1,0.09
EDDH,LOWW,2,19,-2.94,21.84,-26.44,34.27,0.05,0.07,-0.07,0.15
EDDH,LOWW,3,72,-4.41,18.05,-26.64,30.75,0.05,0.07,-0.06,0.16
EDDH,LOWW,4,40,-2.25,7.44,-15.12,8.2,0.03,0.06,-0.05,0.12
EDDH,LPPT,0,73,-8.0,26.61,-48.0,28.24,0.14,0.13,-0.08,0.4
EDDH,LSZH,0,184,-17.55,13.95,-31.7,2.95,-0.02,0.08,-0.13,0.14
EDDH,LSZH,1,37,-17.17,12.3,-29.82,5.14,-0.03,0.12,-0.15,0.14
EDDH,LTAI,0,20,0.51,21.23,-19.19,17.31,0.09,0.14,-0.06,0.29
EDDH,LTAI,1,27,-9.57,19.41,-34.26,15.37,0.03,0.14,-0.17,0.31
EDDH,LTAI,2,27,-14.58,16.19,-40.83,6.69,0.04,0.13,-0.13,0.27
EDDH,LTAI,3,20,-17.29,15.4,-36.99,9.85,0.01,0.08,-0.09,0.18
EDDH,LTAI,4,20,-8.6,22.99,-34.0,21.23,0.06,0.13,-0.09,0.28
EDDH,LTAI,5,26,-8.74,17.33,-34.55,17.33,0.03,0.12,-0.12,0.29
EDDH,LTAI,6,32,-11.01,31.94,-35.97,10.3,0.06,0.13,-0.12,0.3
EDDH,LTFJ,0,28,-14.35,43.22,-47.94,21.56,0.03,0.21,-0.18,0.27
EDDH,LTFJ,1,49,-25.05,22.59,-60.02,10.6,0.02,0.16,-0.16,0.28
EDDH,LTFM,0,69,-19.08,22.11,-45.16,21.46,0.0,0.13,-0.15,0.17
EDDH,LTFM,1,51,-24.82,26.1,-50.75,0.95,-0.02,0.17,-0.18,0.23
EDDH,OMDB,0,60,12.78,27.59,-24.96,64.65,0.21,0.13,0.01,0.43
EDDK,EDDB,0,120,12.35,13.88,-8.91,30.12,0.04,0.06,-0.06,0.12
EDDK,EDDB,1,40,11.43,11.6,-4.02,28.27,0.02,0.06,-0.06,0.1
EDDK,EDDH,0,54,-37.54,17.12,-61.91,-5.81,-0.18,0.05,-0.25,-0.1
EDDK,EDDM,0,194,1.11,12.99,-12.98,24.9,-0.06,0.05,-0.13,0.03
EDDK,EDDM,1,41,6.8,13.44,-13.4,24.4,-0.04,0.05,-0.1,0.04
EDDK,EDDM,2,25,-4.64,12.79,-19.7,19.5,-0.09,0.05,-0.16,-0.01
EDDK,EDDP,0,45,-21.26,19.61,-47.08,-0.0,-0.03,0.07,-0.12,0.08
EDDK,EDDP,1,17,-16.79,21.19,-50.02,1.84,-0.03,0.04,-0.09,0.02
EDDK,EGLL,0,76,13.56,13.59,-3.58,39.1,0.2,0.11,0.06,0.34
EDDK,EGNX,0,91,-0.35,14.55,-23.0,23.0,0.05,0.07,-0.03,0.14
EDDK,EGSS,0,47,11.44,13.69,-8.23,31.74,0.06,0.08,-0.05,0.18
EDDK,EGSS,1,53,5.25,11.26,-14.92,23.58,0.05,0.05,-0.01,0.14
EDDK,KSDF,0,21,34.2,41.18,-5.5,100.1,-0.18,0.18,-0.39,0.1
EDDK,LEBL,0,46,-10.64,20.26,-41.28,24.48,-0.03,0.12,-0.22,0.19
EDDK,LEBL,1,53,-28.91,17.7,-58.84,2.1,-0.07,0.11,-0.23,0.08
EDDK,LEBL,2,15,-22.51,34.65,-60.64,37.36,-0.07,0.12,-0.22,0.13
EDDK,LEPA,0,161,-14.87,24.59,-62.5,23.6,-0.02,0.14,-0.25,0.22
EDDK,LEPA,1,62,-11.8,18.53,-45.35,10.09,0.04,0.07,-0.1,0.15
EDDK,LEPA,2,16,-16.51,20.59,-47.78,13.88,0.03,0.09,-0.1,0.16
EDDK,LEPA,3,83,-18.5,24.35,-54.26,14.44,-0.04,0.13,-0.21,0.22
EDDK,LFPG,0,86,-26.53,19.82,-54.02,2.35,0.02,0.05,-0.06,0.11
EDDK,LIMC,0,78,-57.91,18.48,-82.72,-26.97,-0.24,0.08,-0.34,-0.08
EDDK,LIME,0,39,-20.68,20.46,-44.74,7.2,-0.03,0.08,-0.11,0.08
EDDK,LIME,1,46,-53.04,15.26,-75.45,-27.6,-0.07,0.06,-0.16,0.02
EDDK,LIPZ,0,58,-47.19,17.02,-67.32,-14.69,-0.16,0.1,-0.3,-0.0
EDDK,LIRF,0,69,-45.54,21.74,-72.96,-3.96,-0.14,0.08,-0.28,-0.02
EDDK,LOWW,0,173,3.23,15.95,-13.86,35.32,0.01,0.06,-0.08,0.12
